Time,Run,Scan status,Ablation status,OPO Wavelength
2025-10-17 16:28:01,6055,Start,ON,214.08
2025-10-17 16:28:12,6055,Stop,ON,214.00
2025-10-17 16:28:13,6056,Start,ON,214.02
2025-10-17 16:28:24,6056,Stop,ON,214.02
2025-10-17 16:28:26,6057,Start,ON,214.04
2025-10-17 16:28:37,6057,Stop,ON,214.04
2025-10-17 16:28:39,6058,Start,ON,214.06
2025-10-17 16:28:50,6058,Stop,ON,214.06
2025-10-17 16:28:51,6059,Start,ON,214.08
2025-10-17 16:29:02,6059,Stop,ON,214.08
2025-10-17 16:29:04,6060,Start,ON,214.08
2025-10-17 16:29:15,6060,Stop,ON,214.08
2025-10-17 16:29:17,6061,Start,ON,214.08
2025-10-17 16:29:28,6061,Stop,ON,214.08
