Time,Run,Scan status,Ablation status,OPO Wavelength
2026-06-18 19:51:35,7006,Start,ON,OFF
2026-06-18 19:51:43,7006,Stop,ON,OFF
2026-06-18 19:51:58,7007,Start,ON,OFF
2026-06-18 19:52:08,7007,Stop,ON,OFF
2026-06-18 19:53:19,7008,Start,ON,OFF
2026-06-18 19:53:38,7008,Stop,ON,OFF
2026-06-18 19:53:44,7009,Start,ON,OFF
2026-06-18 19:55:52,7009,Stop,ON,OFF
2026-06-18 19:56:04,7010,Start,ON,OFF
2026-06-18 19:56:50,7010,Stop,ON,OFF
2026-06-18 19:57:10,7011,Start,ON,OFF
2026-06-18 21:39:56,7011,Stop,ON,OFF
2026-06-22 18:09:31,7012,Start,OFF,220.00
2026-06-22 18:09:37,7012,Stop,OFF,220.00
