Time,Run,Scan status,Ablation status,OPO Wavelength
2025-10-17 17:21:33,6113,Start,ON,215.00
2025-10-17 17:21:44,6113,Stop,ON,214.00
2025-10-17 17:21:46,6114,Start,ON,214.10
2025-10-17 17:21:57,6114,Stop,ON,214.10
2025-10-17 17:21:58,6115,Start,ON,214.20
2025-10-17 17:22:09,6115,Stop,ON,214.20
2025-10-17 17:22:11,6116,Start,ON,214.30
2025-10-17 17:22:22,6116,Stop,ON,214.30
2025-10-17 17:22:23,6117,Start,ON,214.40
2025-10-17 17:22:34,6117,Stop,ON,214.40
2025-10-17 17:22:36,6118,Start,ON,214.50
2025-10-17 17:22:47,6118,Stop,ON,214.50
2025-10-17 17:22:49,6119,Start,ON,214.60
2025-10-17 17:22:59,6119,Stop,ON,214.60
2025-10-17 17:23:01,6120,Start,ON,214.70
2025-10-17 17:23:12,6120,Stop,ON,214.70
2025-10-17 17:23:14,6121,Start,ON,214.80
2025-10-17 17:23:25,6121,Stop,ON,214.80
2025-10-17 17:23:26,6122,Start,ON,214.90
2025-10-17 17:23:37,6122,Stop,ON,214.90
2025-10-17 17:23:39,6123,Start,ON,215.00
2025-10-17 17:23:50,6123,Stop,ON,215.00
