Time,Run,Scan status,Ablation status,OPO Wavelength
2025-08-22 16:18:41,3230,Start,ON,OFF
2025-08-22 16:19:04,3230,Stop,ON,OFF
2025-08-22 16:19:06,3231,Start,ON,OFF
2025-08-22 16:19:17,3231,Stop,ON,OFF
2025-08-22 16:19:38,3232,Start,ON,OFF
2025-08-22 16:19:47,3232,Stop,ON,OFF
2025-08-22 16:20:10,3233,Start,ON,OFF
2025-08-22 16:21:17,3233,Stop,ON,OFF
2025-08-22 16:25:47,3234,Start,ON,214.00
2025-08-22 16:25:52,3234,Stop,ON,214.00
2025-08-22 16:26:00,3235,Start,ON,214.00
2025-08-22 16:34:01,3235,Stop,ON,214.00
2025-08-22 16:36:45,3236,Start,ON,221.20
2025-08-22 16:37:41,3236,Stop,ON,221.20
2025-08-22 16:38:15,3237,Start,OFF,221.20
2025-08-22 16:39:18,3237,Stop,OFF,221.20
2025-08-22 16:40:44,3238,Start,OFF,221.00
2025-08-22 16:41:41,3238,Stop,OFF,221.00
2025-08-22 16:42:50,3239,Start,ON,221.00
2025-08-22 16:43:45,3239,Stop,ON,221.00
2025-08-22 16:44:15,3240,Start,ON,220.90
2025-08-22 16:45:06,3240,Stop,ON,220.90
2025-08-22 16:45:39,3241,Start,ON,221.30
2025-08-22 16:47:19,3241,Stop,ON,221.30
2025-08-22 16:47:39,3242,Start,ON,214.00
2025-08-22 16:48:31,3242,Stop,ON,214.00
2025-08-22 16:48:37,3243,Start,OFF,214.00
2025-08-22 16:49:22,3243,Stop,OFF,214.00
2025-08-22 16:49:35,3244,Start,OFF,213.90
2025-08-22 16:49:50,3244,Stop,OFF,213.90
2025-08-22 16:49:56,3245,Start,ON,213.90
2025-08-22 16:50:33,3245,Stop,ON,213.90
2025-08-22 16:50:53,3246,Start,ON,214.10
2025-08-22 16:52:09,3246,Stop,ON,214.10
2025-08-22 16:52:30,3247,Start,ON,214.20
2025-08-22 16:53:06,3247,Stop,ON,214.20
2025-08-22 16:53:14,3248,Start,OFF,214.20
2025-08-22 16:54:17,3248,Stop,OFF,214.20
2025-08-22 16:55:41,3249,Start,OFF,214.30
2025-08-22 16:56:29,3249,Stop,OFF,214.30
2025-08-22 16:56:31,3250,Start,OFF,214.30
2025-08-22 16:57:57,3250,Stop,OFF,216.00
2025-08-22 16:58:01,3251,Start,OFF,216.00
2025-08-22 16:58:20,3251,Stop,OFF,216.00
2025-08-22 16:58:26,3252,Start,ON,216.00
2025-08-22 17:01:28,3252,Stop,ON,216.00
2025-08-22 17:01:48,3253,Start,ON,216.00
2025-08-22 17:02:39,3253,Stop,ON,216.00
2025-08-22 17:04:28,3254,Start,ON,221.20
2025-08-22 17:07:06,3254,Stop,ON,221.20
2025-08-22 17:07:57,3255,Start,ON,221.20
2025-08-22 17:08:37,3255,Stop,ON,221.20
2025-08-22 17:09:17,3256,Start,ON,221.20
2025-08-22 17:09:25,3256,Stop,ON,221.20
