Time,Run,Scan status,Ablation status,OPO Wavelength
2:34:19 PM,3915,Start,ON,OFF
2:34:26 PM,3915,Stop,ON,OFF
2:34:39 PM,3916,Start,ON,OFF
2:34:43 PM,3916,Stop,ON,OFF
2:34:48 PM,3917,Start,ON,216.2
2:34:54 PM,3917,Stop,ON,216.2
2:35:10 PM,3918,Start,ON,216.2
2:36:41 PM,3918,Stop,ON,216.2
2:36:54 PM,3919,Start,OFF,216.2
2:38:25 PM,3919,Stop,OFF,216.2
2:46:37 PM,3920,Start,OFF,216.28
2:46:42 PM,3920,Stop,OFF,216.28
2:46:48 PM,3921,Start,ON,216.28
2:46:55 PM,3921,Stop,ON,216.28
2:47:36 PM,3922,Start,ON,216.25
2:49:07 PM,3922,Stop,ON,216.25
2:49:19 PM,3923,Start,OFF,216.25
2:50:53 PM,3923,Stop,OFF,216.25
2:55:32 PM,3924,Start,ON,216.25
2:57:03 PM,3924,Stop,ON,212
2:57:03 PM,3925,Start,OFF,212
2:58:34 PM,3925,Stop,OFF,212
2:58:36 PM,3926,Start,ON,212.02
3:00:07 PM,3926,Stop,ON,212.02
3:00:07 PM,3927,Start,OFF,212.02
3:01:38 PM,3927,Stop,OFF,212.02
3:01:40 PM,3928,Start,ON,212.04
3:03:10 PM,3928,Stop,ON,212.04
3:03:11 PM,3929,Start,OFF,212.04
3:04:41 PM,3929,Stop,OFF,212.04
3:04:44 PM,3930,Start,ON,212.06
3:06:14 PM,3930,Stop,ON,212.06
3:06:14 PM,3931,Start,OFF,212.06
3:07:45 PM,3931,Stop,OFF,212.06
3:07:47 PM,3932,Start,ON,212.08
3:09:18 PM,3932,Stop,ON,212.08
3:09:18 PM,3933,Start,OFF,212.08
3:10:49 PM,3933,Stop,OFF,212.08
3:10:51 PM,3934,Start,ON,212.1
3:12:21 PM,3934,Stop,ON,212.1
3:12:22 PM,3935,Start,OFF,212.1
3:13:52 PM,3935,Stop,OFF,212.1
3:13:54 PM,3936,Start,ON,212.12
3:15:25 PM,3936,Stop,ON,212.12
3:15:25 PM,3937,Start,OFF,212.12
3:16:56 PM,3937,Stop,OFF,212.12
3:16:58 PM,3938,Start,ON,212.14
3:18:29 PM,3938,Stop,ON,212.14
3:18:29 PM,3939,Start,OFF,212.14
3:19:59 PM,3939,Stop,OFF,212.14
3:20:02 PM,3940,Start,ON,212.16
3:21:32 PM,3940,Stop,ON,212.16
3:21:32 PM,3941,Start,OFF,212.16
3:23:03 PM,3941,Stop,OFF,212.16
3:23:05 PM,3942,Start,ON,212.18
3:24:36 PM,3942,Stop,ON,212.18
3:24:36 PM,3943,Start,OFF,212.18
3:26:07 PM,3943,Stop,OFF,212.18
3:26:10 PM,3944,Start,ON,212.2
3:27:40 PM,3944,Stop,ON,212.2
3:27:40 PM,3945,Start,OFF,212.2
3:29:11 PM,3945,Stop,OFF,212.2
3:29:13 PM,3946,Start,ON,212.22
3:30:44 PM,3946,Stop,ON,212.22
3:30:44 PM,3947,Start,OFF,212.22
3:32:14 PM,3947,Stop,OFF,212.22
3:32:17 PM,3948,Start,ON,212.24
3:33:47 PM,3948,Stop,ON,212.24
3:33:47 PM,3949,Start,OFF,212.24
3:35:18 PM,3949,Stop,OFF,212.24
3:35:20 PM,3950,Start,ON,212.26
3:36:51 PM,3950,Stop,ON,212.26
3:36:51 PM,3951,Start,OFF,212.26
3:38:21 PM,3951,Stop,OFF,212.26
3:38:24 PM,3952,Start,ON,212.28
3:39:54 PM,3952,Stop,ON,212.28
3:39:54 PM,3953,Start,OFF,212.28
3:41:25 PM,3953,Stop,OFF,212.28
3:41:27 PM,3954,Start,ON,212.3
3:42:58 PM,3954,Stop,ON,212.3
3:42:58 PM,3955,Start,OFF,212.3
3:44:28 PM,3955,Stop,OFF,212.3
3:44:31 PM,3956,Start,ON,212.32
3:46:01 PM,3956,Stop,ON,212.32
3:46:01 PM,3957,Start,OFF,212.32
3:47:32 PM,3957,Stop,OFF,212.32
3:47:34 PM,3958,Start,ON,212.34
3:49:05 PM,3958,Stop,ON,212.34
3:49:05 PM,3959,Start,OFF,212.34
3:50:35 PM,3959,Stop,OFF,212.34
3:50:38 PM,3960,Start,ON,212.36
3:52:08 PM,3960,Stop,ON,212.36
3:52:08 PM,3961,Start,OFF,212.36
3:53:39 PM,3961,Stop,OFF,212.36
3:53:41 PM,3962,Start,ON,212.38
3:55:11 PM,3962,Stop,ON,212.38
3:55:12 PM,3963,Start,OFF,212.38
3:56:42 PM,3963,Stop,OFF,212.38
3:56:45 PM,3964,Start,ON,212.4
3:58:15 PM,3964,Stop,ON,212.4
3:58:15 PM,3965,Start,OFF,212.4
3:59:46 PM,3965,Stop,OFF,212.4
3:59:48 PM,3966,Start,ON,212.42
4:01:19 PM,3966,Stop,ON,212.42
4:01:19 PM,3967,Start,OFF,212.42
4:02:50 PM,3967,Stop,OFF,212.42
4:02:52 PM,3968,Start,ON,212.44
4:04:23 PM,3968,Stop,ON,212.44
4:04:23 PM,3969,Start,OFF,212.44
4:05:20 PM,3969,Stop,OFF,212.44
4:05:22 PM,3970,Start,ON,212.46
4:06:52 PM,3970,Stop,ON,212.46
4:06:53 PM,3971,Start,OFF,212.46
4:07:04 PM,3971,Stop,ON,212.46
4:07:05 PM,3972,Start,ON,213.8
4:08:24 PM,3972,Stop,ON,213.8
4:08:25 PM,3973,Start,ON,213.82
4:08:36 PM,3973,Stop,ON,213.82
4:08:36 PM,3974,Start,OFF,213.82
4:09:56 PM,3974,Stop,OFF,213.82
4:09:56 PM,3975,Start,OFF,213.82
4:10:06 PM,3975,Stop,OFF,213.82
4:10:09 PM,3976,Start,ON,213.84
4:11:27 PM,3976,Stop,ON,213.84
4:11:28 PM,3977,Start,ON,213.86
4:11:39 PM,3977,Stop,ON,213.86
4:11:39 PM,3978,Start,OFF,213.86
4:12:59 PM,3978,Stop,OFF,213.86
4:13:00 PM,3979,Start,OFF,213.86
4:13:10 PM,3979,Stop,OFF,213.86
4:13:12 PM,3980,Start,ON,213.88
4:14:30 PM,3980,Stop,ON,213.88
4:14:32 PM,3981,Start,ON,213.9
4:14:43 PM,3981,Stop,ON,213.9
4:14:43 PM,3982,Start,OFF,213.9
4:16:02 PM,3982,Stop,OFF,213.9
4:16:03 PM,3983,Start,OFF,213.9
4:16:14 PM,3983,Stop,OFF,213.9
4:16:16 PM,3984,Start,ON,213.92
4:17:33 PM,3984,Stop,ON,213.92
4:17:35 PM,3985,Start,ON,213.94
4:17:47 PM,3985,Stop,ON,213.94
4:17:47 PM,3986,Start,OFF,213.94
4:19:05 PM,3986,Stop,OFF,213.94
4:19:06 PM,3987,Start,OFF,213.94
4:19:18 PM,3987,Stop,OFF,213.94
4:19:20 PM,3988,Start,ON,213.96
4:20:36 PM,3988,Stop,ON,213.96
4:20:38 PM,3989,Start,ON,213.98
4:20:51 PM,3989,Stop,ON,213.98
4:20:51 PM,3990,Start,OFF,213.98
4:22:08 PM,3990,Stop,OFF,213.98
4:22:08 PM,3991,Start,OFF,213.98
4:22:22 PM,3991,Stop,OFF,213.98
4:22:24 PM,3992,Start,ON,214
4:23:40 PM,3992,Stop,ON,214
4:23:41 PM,3993,Start,ON,214.02
4:23:55 PM,3993,Stop,ON,214.02
4:23:55 PM,3994,Start,OFF,214.02
4:25:12 PM,3994,Stop,OFF,214.02
4:25:12 PM,3995,Start,OFF,214.02
4:25:26 PM,3995,Stop,OFF,214.02
4:25:28 PM,3996,Start,ON,214.02
4:26:43 PM,3996,Stop,ON,214.04
4:26:44 PM,3997,Start,ON,214.06
4:26:59 PM,3997,Stop,ON,214.06
4:26:59 PM,3998,Start,OFF,214.06
4:28:15 PM,3998,Stop,OFF,214.06
4:28:15 PM,3999,Start,OFF,214.06
4:28:30 PM,3999,Stop,OFF,214.06
4:28:32 PM,4000,Start,ON,214.08
4:29:46 PM,4000,Stop,ON,214.08
4:29:47 PM,4001,Start,ON,214.1
4:30:03 PM,4001,Stop,ON,214.1
4:30:03 PM,4002,Start,OFF,214.1
4:31:18 PM,4002,Stop,OFF,214.1
4:31:18 PM,4003,Start,OFF,214.1
4:31:34 PM,4003,Stop,OFF,214.1
4:31:36 PM,4004,Start,ON,214.12
4:32:49 PM,4004,Stop,ON,214.12
4:32:50 PM,4005,Start,ON,214.14
4:33:07 PM,4005,Stop,ON,214.14
4:33:07 PM,4006,Start,OFF,214.14
4:34:21 PM,4006,Stop,OFF,214.14
4:34:21 PM,4007,Start,OFF,214.14
4:34:38 PM,4007,Stop,OFF,214.14
4:34:40 PM,4008,Start,ON,214.16
4:35:52 PM,4008,Stop,ON,214.16
4:35:53 PM,4009,Start,ON,214.18
4:36:11 PM,4009,Stop,ON,214.18
4:36:12 PM,4010,Start,OFF,214.18
4:37:24 PM,4010,Stop,OFF,214.18
4:37:24 PM,4011,Start,OFF,214.18
4:37:42 PM,4011,Stop,OFF,214.18
4:38:54 PM,4012,Start,ON,214.18
4:50:39 PM,4012,Stop,ON,214.18
