Time,Run,Scan status,Ablation status,OPO Wavelength
2025-08-25 17:25:25,3360,Start,OFF,OFF
2025-08-25 17:26:27,3360,Stop,OFF,OFF
2025-08-25 17:27:04,3361,Start,ON,OFF
2025-08-25 17:28:05,3361,Stop,ON,OFF
2025-08-25 17:29:05,3362,Start,OFF,OFF
2025-08-25 17:30:12,3362,Stop,OFF,OFF
2025-08-25 17:30:39,3363,Start,ON,OFF
2025-08-25 17:31:43,3363,Stop,ON,OFF
2025-08-25 17:31:55,3364,Start,OFF,OFF
2025-08-25 17:32:56,3364,Stop,OFF,OFF
2025-08-25 17:34:21,3365,Start,ON,OFF
2025-08-25 17:35:22,3365,Stop,ON,OFF
2025-08-25 17:35:32,3366,Start,OFF,OFF
2025-08-25 17:36:35,3366,Stop,OFF,OFF
2025-08-25 17:36:51,3367,Start,ON,OFF
2025-08-25 17:37:57,3367,Stop,ON,OFF
2025-08-25 17:38:17,3368,Start,OFF,OFF
2025-08-25 17:39:20,3368,Stop,OFF,OFF
2025-08-25 17:39:34,3369,Start,ON,OFF
2025-08-25 17:40:35,3369,Stop,ON,OFF
2025-08-25 17:40:43,3370,Start,OFF,OFF
2025-08-25 17:41:49,3370,Stop,OFF,OFF
2025-08-25 17:42:30,3371,Start,ON,OFF
2025-08-25 17:43:40,3371,Stop,ON,OFF
2025-08-25 17:43:51,3372,Start,OFF,OFF
2025-08-25 17:44:58,3372,Stop,OFF,OFF
2025-08-25 17:45:14,3373,Start,ON,OFF
2025-08-25 17:46:18,3373,Stop,ON,OFF
2025-08-25 17:46:27,3374,Start,OFF,OFF
2025-08-25 17:47:32,3374,Stop,OFF,OFF
2025-08-25 17:47:44,3375,Start,ON,OFF
2025-08-25 17:48:45,3375,Stop,ON,OFF
2025-08-25 17:48:54,3376,Start,OFF,OFF
2025-08-25 17:49:55,3376,Stop,OFF,OFF
2025-08-25 17:51:42,3377,Start,ON,OFF
2025-08-25 17:54:19,3377,Stop,ON,OFF
2025-08-25 17:54:20,3378,Start,ON,OFF
2025-08-25 18:08:20,3378,Stop,ON,OFF
2025-08-25 18:08:48,3379,Start,ON,OFF
2025-08-25 18:14:03,3379,Stop,ON,OFF
2025-08-25 18:14:04,3380,Start,ON,OFF
2025-08-25 18:15:10,3380,Stop,ON,OFF
2025-08-25 18:15:11,3381,Start,ON,OFF
2025-08-25 18:15:31,3381,Stop,ON,OFF
2025-08-25 18:15:32,3382,Start,ON,OFF
2025-08-25 18:17:42,3382,Stop,ON,OFF
2025-08-25 18:17:43,3383,Start,ON,OFF
2025-08-25 18:33:21,3383,Stop,ON,OFF
2025-08-25 18:33:22,3384,Start,ON,OFF
2025-08-25 18:35:56,3384,Stop,ON,OFF
2025-08-25 18:36:00,3385,Start,ON,OFF
2025-08-25 18:37:45,3385,Stop,ON,OFF
2025-08-25 18:37:53,3386,Start,ON,OFF
2025-08-25 18:40:45,3386,Stop,ON,OFF
2025-08-25 18:40:46,3387,Start,ON,OFF
2025-08-25 18:42:33,3387,Stop,ON,OFF
2025-08-25 18:42:34,3388,Start,ON,OFF
2025-08-25 18:44:28,3388,Stop,ON,OFF
2025-08-25 18:46:03,3389,Start,ON,OFF
2025-08-25 18:46:10,3389,Stop,ON,OFF
2025-08-25 18:47:03,3390,Start,ON,OFF
2025-08-25 18:47:07,3390,Stop,ON,OFF
2025-08-25 18:47:32,3391,Start,ON,OFF
2025-08-25 18:48:02,3391,Stop,OFF,OFF
2025-08-25 18:48:02,3392,Start,OFF,OFF
2025-08-25 18:49:40,3392,Stop,ON,OFF
2025-08-25 18:49:57,3393,Start,ON,OFF
2025-08-25 18:50:22,3393,Stop,OFF,OFF
2025-08-25 18:50:48,3394,Start,OFF,OFF
2025-08-25 18:50:59,3394,Stop,OFF,OFF
2025-08-25 18:51:38,3395,Start,ON,OFF
2025-08-26 16:09:03,3395,Stop,OFF,OFF
