Time,Run,Scan status,Ablation status,OPO Wavelength
2025-08-25 15:43:39,3333,Start,ON,OFF
2025-08-25 15:44:18,3333,Stop,ON,OFF
2025-08-25 15:44:19,3334,Start,ON,OFF
2025-08-25 15:46:31,3334,Stop,ON,OFF
2025-08-25 15:46:43,3335,Start,ON,OFF
2025-08-25 15:46:50,3335,Stop,ON,OFF
2025-08-25 15:47:12,3336,Start,ON,OFF
2025-08-25 15:47:22,3336,Stop,ON,OFF
2025-08-25 15:47:39,3337,Start,ON,OFF
2025-08-25 15:47:49,3337,Stop,ON,OFF
2025-08-25 15:48:06,3338,Start,ON,OFF
2025-08-25 15:48:13,3338,Stop,ON,OFF
2025-08-25 15:48:16,3339,Start,ON,OFF
2025-08-25 15:48:33,3339,Stop,ON,OFF
2025-08-25 15:48:44,3340,Start,ON,OFF
2025-08-25 15:50:05,3340,Stop,ON,OFF
2025-08-25 15:50:18,3341,Start,ON,OFF
2025-08-25 16:04:29,3341,Stop,OFF,OFF
