Time,Run,Scan status,Ablation status,OPO Wavelength
2025-08-28 13:48:56,3505,Start,ON,OFF
2025-08-28 13:49:00,3505,Stop,ON,OFF
2025-08-28 13:49:19,3506,Start,ON,OFF
2025-08-28 13:50:21,3506,Stop,ON,OFF
2025-08-28 13:50:27,3507,Start,OFF,OFF
2025-08-28 13:51:27,3507,Stop,OFF,OFF
2025-08-28 13:58:12,3508,Start,ON,OFF
2025-08-28 13:59:13,3508,Stop,ON,OFF
2025-08-28 14:04:08,3509,Start,OFF,OFF
2025-08-28 14:04:11,3509,Stop,OFF,OFF
2025-08-28 14:04:17,3510,Start,OFF,OFF
2025-08-28 14:05:18,3510,Stop,OFF,OFF
2025-08-28 14:07:27,3511,Start,ON,OFF
2025-08-28 14:08:29,3511,Stop,ON,OFF
2025-08-28 14:09:06,3512,Start,OFF,OFF
2025-08-28 14:10:07,3512,Stop,OFF,OFF
2025-08-28 14:13:46,3513,Start,ON,OFF
2025-08-28 14:14:46,3513,Stop,ON,OFF
2025-08-28 14:15:17,3514,Start,OFF,OFF
2025-08-28 14:16:19,3514,Stop,OFF,OFF
2025-08-28 14:17:17,3515,Start,ON,OFF
2025-08-28 14:18:49,3515,Stop,ON,OFF
2025-08-28 14:19:04,3516,Start,OFF,OFF
2025-08-28 14:20:35,3516,Stop,OFF,OFF
2025-08-28 14:24:01,3517,Start,ON,OFF
2025-08-28 14:25:35,3517,Stop,ON,OFF
2025-08-28 14:25:35,3518,Start,ON,OFF
2025-08-28 14:25:37,3518,Stop,ON,OFF
2025-08-28 14:25:46,3519,Start,OFF,OFF
2025-08-28 14:27:17,3519,Stop,OFF,OFF
2025-08-28 14:28:42,3520,Start,ON,OFF
2025-08-28 14:30:13,3520,Stop,ON,OFF
2025-08-28 14:30:18,3521,Start,OFF,OFF
2025-08-28 14:31:52,3521,Stop,OFF,OFF
2025-08-28 14:33:15,3522,Start,ON,OFF
2025-08-28 14:34:54,3522,Stop,ON,OFF
2025-08-28 14:35:07,3523,Start,OFF,OFF
2025-08-28 14:36:40,3523,Stop,OFF,OFF
2025-08-28 14:37:59,3524,Start,ON,OFF
2025-08-28 14:39:32,3524,Stop,ON,OFF
2025-08-28 14:39:36,3525,Start,OFF,OFF
2025-08-28 14:41:08,3525,Stop,OFF,OFF
2025-08-28 14:41:57,3526,Start,ON,OFF
2025-08-28 14:43:28,3526,Stop,ON,OFF
2025-08-28 14:44:43,3527,Start,OFF,OFF
2025-08-28 14:47:42,3527,Stop,ON,OFF
2025-08-28 14:50:45,3528,Start,ON,OFF
2025-08-28 14:51:04,3528,Stop,ON,OFF
2025-08-28 14:51:20,3529,Start,ON,OFF
2025-08-28 14:52:58,3529,Stop,ON,OFF
2025-08-28 14:55:09,3530,Start,ON,OFF
2025-08-28 14:56:40,3530,Stop,ON,OFF
2025-08-28 14:56:44,3531,Start,OFF,OFF
2025-08-28 14:57:58,3531,Stop,OFF,OFF
2025-08-28 14:59:25,3532,Start,ON,OFF
2025-08-28 15:00:56,3532,Stop,ON,OFF
2025-08-28 15:01:14,3533,Start,OFF,OFF
2025-08-28 15:02:45,3533,Stop,OFF,OFF
2025-08-28 15:04:17,3534,Start,ON,OFF
2025-08-28 15:05:49,3534,Stop,ON,OFF
2025-08-28 15:06:05,3535,Start,OFF,OFF
2025-08-28 15:07:35,3535,Stop,OFF,OFF
2025-08-28 15:13:05,3536,Start,ON,OFF
2025-08-28 15:28:15,3536,Stop,ON,OFF
2025-08-28 15:29:19,3537,Start,ON,OFF
2025-08-28 15:29:33,3537,Stop,ON,OFF
2025-08-28 15:29:33,3538,Start,ON,OFF
2025-08-28 15:29:37,3538,Stop,ON,OFF
2025-08-28 15:29:39,3539,Start,ON,OFF
2025-08-28 15:30:48,3539,Stop,ON,OFF
2025-08-28 15:30:59,3540,Start,ON,OFF
2025-08-28 15:32:30,3540,Stop,ON,OFF
2025-08-28 15:32:47,3541,Start,OFF,OFF
2025-08-28 15:33:51,3541,Stop,OFF,OFF
2025-08-28 15:33:51,3542,Start,OFF,OFF
2025-08-28 15:35:46,3542,Stop,OFF,OFF
2025-08-28 15:36:29,3543,Start,ON,OFF
2025-08-28 15:38:10,3543,Stop,ON,OFF
2025-08-28 15:38:45,3544,Start,OFF,OFF
2025-08-28 15:40:17,3544,Stop,OFF,OFF
2025-08-28 15:40:17,3545,Start,OFF,OFF
2025-08-28 15:40:20,3545,Stop,OFF,OFF
2025-08-28 15:42:15,3546,Start,ON,OFF
2025-08-28 15:43:50,3546,Stop,ON,OFF
2025-08-28 15:44:10,3547,Start,OFF,OFF
2025-08-28 15:45:42,3547,Stop,OFF,OFF
2025-08-28 15:46:55,3548,Start,ON,OFF
2025-08-28 15:48:27,3548,Stop,ON,OFF
2025-08-28 15:48:38,3549,Start,OFF,OFF
2025-08-28 15:50:16,3549,Stop,OFF,OFF
2025-08-28 15:50:56,3550,Start,ON,OFF
2025-08-28 15:52:32,3550,Stop,ON,OFF
2025-08-28 15:52:39,3551,Start,OFF,OFF
2025-08-28 15:54:11,3551,Stop,OFF,OFF
2025-08-28 15:54:56,3552,Start,ON,OFF
2025-08-28 15:56:29,3552,Stop,ON,OFF
2025-08-28 15:56:42,3553,Start,OFF,OFF
2025-08-28 15:58:04,3553,Stop,OFF,OFF
2025-08-28 15:58:10,3554,Start,ON,OFF
2025-08-28 16:00:19,3554,Stop,ON,OFF
2025-08-28 16:00:19,3555,Start,ON,OFF
2025-08-28 16:00:39,3555,Stop,ON,OFF
2025-08-28 16:00:40,3556,Start,ON,OFF
2025-08-28 16:01:00,3556,Stop,ON,OFF
2025-08-28 16:01:00,3557,Start,ON,OFF
2025-08-28 16:01:21,3557,Stop,ON,OFF
2025-08-28 16:01:21,3558,Start,ON,OFF
2025-08-28 16:01:42,3558,Stop,ON,OFF
2025-08-28 16:01:42,3559,Start,ON,OFF
2025-08-28 16:02:02,3559,Stop,ON,OFF
2025-08-28 16:02:03,3560,Start,ON,OFF
2025-08-28 16:02:23,3560,Stop,ON,OFF
2025-08-28 16:02:23,3561,Start,ON,OFF
2025-08-28 16:02:44,3561,Stop,ON,OFF
2025-08-28 16:02:44,3562,Start,ON,OFF
2025-08-28 16:03:05,3562,Stop,ON,OFF
2025-08-28 16:03:05,3563,Start,ON,OFF
2025-08-28 16:03:25,3563,Stop,ON,OFF
2025-08-28 16:03:26,3564,Start,ON,OFF
2025-08-28 16:03:46,3564,Stop,ON,OFF
2025-08-28 16:03:46,3565,Start,ON,OFF
2025-08-28 16:04:07,3565,Stop,ON,OFF
2025-08-28 16:04:07,3566,Start,ON,OFF
2025-08-28 16:04:28,3566,Stop,ON,OFF
2025-08-28 16:04:28,3567,Start,ON,OFF
2025-08-28 16:04:48,3567,Stop,ON,OFF
2025-08-28 16:04:49,3568,Start,ON,OFF
2025-08-28 16:05:09,3568,Stop,ON,OFF
2025-08-28 16:05:09,3569,Start,ON,OFF
2025-08-28 16:05:30,3569,Stop,ON,OFF
2025-08-28 16:05:30,3570,Start,ON,OFF
2025-08-28 16:05:50,3570,Stop,ON,OFF
2025-08-28 16:05:51,3571,Start,ON,OFF
2025-08-28 16:06:11,3571,Stop,ON,OFF
2025-08-28 16:06:11,3572,Start,ON,OFF
2025-08-28 16:06:32,3572,Stop,ON,OFF
2025-08-28 16:06:32,3573,Start,ON,OFF
2025-08-28 16:06:53,3573,Stop,ON,OFF
2025-08-28 16:06:53,3574,Start,ON,OFF
2025-08-28 16:07:13,3574,Stop,ON,OFF
2025-08-28 16:07:13,3575,Start,ON,OFF
2025-08-28 16:07:34,3575,Stop,ON,OFF
2025-08-28 16:08:47,3576,Start,ON,OFF
2025-08-28 16:09:08,3576,Stop,ON,OFF
2025-08-28 16:09:08,3577,Start,ON,OFF
2025-08-28 16:09:29,3577,Stop,ON,OFF
2025-08-28 16:09:29,3578,Start,ON,OFF
2025-08-28 16:09:50,3578,Stop,ON,OFF
2025-08-28 16:09:50,3579,Start,ON,OFF
2025-08-28 16:10:11,3579,Stop,ON,OFF
2025-08-28 16:10:11,3580,Start,ON,OFF
2025-08-28 16:10:32,3580,Stop,ON,OFF
2025-08-28 16:10:32,3581,Start,ON,OFF
2025-08-28 16:10:53,3581,Stop,ON,OFF
2025-08-28 16:10:53,3582,Start,ON,OFF
2025-08-28 16:11:13,3582,Stop,ON,OFF
2025-08-28 16:11:14,3583,Start,ON,OFF
2025-08-28 16:11:34,3583,Stop,ON,OFF
2025-08-28 16:11:34,3584,Start,ON,OFF
2025-08-28 16:11:55,3584,Stop,ON,OFF
