Time,Run,Scan status,Ablation status,OPO Wavelength
2025-08-25 12:17:18,3257,Start,ON,221.20
2025-08-25 12:20:21,3257,Stop,ON,221.20
2025-08-25 12:20:21,3258,Start,ON,221.20
2025-08-25 12:20:32,3258,Stop,ON,221.20
2025-08-25 12:20:32,3259,Start,ON,221.20
2025-08-25 12:20:42,3259,Stop,ON,221.20
2025-08-25 12:20:43,3260,Start,ON,221.20
2025-08-25 12:20:53,3260,Stop,ON,221.20
2025-08-25 12:20:53,3261,Start,ON,221.20
2025-08-25 12:21:04,3261,Stop,ON,221.20
2025-08-25 12:21:04,3262,Start,ON,221.20
2025-08-25 12:21:14,3262,Stop,ON,221.20
2025-08-25 12:21:15,3263,Start,ON,221.20
2025-08-25 12:21:25,3263,Stop,ON,221.20
2025-08-25 12:21:25,3264,Start,ON,221.20
2025-08-25 12:21:36,3264,Stop,ON,221.20
2025-08-25 12:21:36,3265,Start,ON,221.20
2025-08-25 12:21:46,3265,Stop,ON,221.20
2025-08-25 12:21:47,3266,Start,ON,221.20
2025-08-25 12:21:57,3266,Stop,ON,221.20
2025-08-25 12:21:57,3267,Start,ON,221.20
2025-08-25 12:22:08,3267,Stop,ON,221.20
2025-08-25 12:22:08,3268,Start,ON,221.20
2025-08-25 12:22:18,3268,Stop,ON,221.20
2025-08-25 12:22:19,3269,Start,ON,221.20
2025-08-25 12:22:29,3269,Stop,ON,221.20
2025-08-25 12:22:29,3270,Start,ON,221.20
2025-08-25 12:22:40,3270,Stop,ON,221.20
2025-08-25 12:22:40,3271,Start,ON,221.20
2025-08-25 12:22:50,3271,Stop,ON,221.20
2025-08-25 12:22:51,3272,Start,ON,221.20
2025-08-25 12:23:01,3272,Stop,ON,221.20
2025-08-25 12:23:01,3273,Start,ON,221.20
2025-08-25 12:23:12,3273,Stop,ON,221.20
2025-08-25 12:23:12,3274,Start,ON,221.20
2025-08-25 12:23:22,3274,Stop,ON,221.20
2025-08-25 12:23:23,3275,Start,ON,221.20
2025-08-25 12:23:33,3275,Stop,ON,221.20
2025-08-25 12:23:33,3276,Start,ON,221.20
2025-08-25 12:23:44,3276,Stop,ON,221.20
2025-08-25 12:23:44,3277,Start,ON,221.20
2025-08-25 12:23:54,3277,Stop,ON,221.20
2025-08-25 12:23:55,3278,Start,ON,221.20
2025-08-25 12:24:05,3278,Stop,ON,221.20
2025-08-25 12:24:05,3279,Start,ON,221.20
2025-08-25 12:24:16,3279,Stop,ON,221.20
2025-08-25 12:24:16,3280,Start,ON,221.20
2025-08-25 12:24:26,3280,Stop,ON,221.20
2025-08-25 12:24:27,3281,Start,ON,221.20
2025-08-25 12:24:37,3281,Stop,ON,221.20
2025-08-25 12:24:37,3282,Start,ON,221.20
2025-08-25 12:24:48,3282,Stop,ON,221.20
2025-08-25 12:24:48,3283,Start,ON,221.20
2025-08-25 12:24:58,3283,Stop,ON,221.20
2025-08-25 14:21:38,3284,Start,ON,221.20
2025-08-25 14:22:57,3284,Stop,ON,221.20
2025-08-25 14:23:09,3285,Start,OFF,221.20
2025-08-25 14:24:14,3285,Stop,OFF,221.20
2025-08-25 14:24:34,3286,Start,OFF,221.20
2025-08-25 14:25:39,3286,Stop,OFF,221.20
2025-08-25 14:26:32,3287,Start,OFF,214.00
2025-08-25 14:26:49,3287,Stop,OFF,214.00
2025-08-25 14:31:53,3288,Start,ON,216.00
2025-08-25 14:32:54,3288,Stop,ON,216.00
2025-08-25 14:33:12,3289,Start,OFF,216.00
2025-08-25 14:34:14,3289,Stop,OFF,216.00
2025-08-25 14:34:52,3290,Start,ON,216.00
2025-08-25 14:35:55,3290,Stop,ON,216.00
2025-08-25 14:36:04,3291,Start,OFF,216.00
2025-08-25 14:37:06,3291,Stop,OFF,216.00
2025-08-25 14:37:21,3292,Start,ON,216.00
2025-08-25 14:38:31,3292,Stop,ON,216.00
2025-08-25 14:38:38,3293,Start,OFF,216.00
2025-08-25 14:39:41,3293,Stop,OFF,216.00
2025-08-25 14:40:13,3294,Start,ON,216.00
2025-08-25 14:41:15,3294,Stop,ON,216.00
2025-08-25 14:44:02,3295,Start,ON,216.00
2025-08-25 14:45:06,3295,Stop,ON,216.00
2025-08-25 14:45:13,3296,Start,OFF,216.00
2025-08-25 14:46:16,3296,Stop,OFF,216.00
2025-08-25 14:46:30,3297,Start,ON,216.00
2025-08-25 14:47:32,3297,Stop,ON,216.00
2025-08-25 14:47:40,3298,Start,OFF,216.00
2025-08-25 14:48:44,3298,Stop,OFF,216.00
2025-08-25 14:49:48,3299,Start,ON,216.00
