Time,Run,Scan status,Ablation status,OPO Wavelength
2026-07-06 17:17:48,7441,Start,OFF,OFF
2026-07-06 17:18:16,7441,Stop,OFF,214.05
2026-07-06 17:18:17,7442,Start,OFF,214.05
2026-07-06 17:18:57,7442,Stop,OFF,214.05
2026-07-06 17:19:32,7443,Start,OFF,214.05
2026-07-06 17:19:48,7443,Stop,OFF,214.05
2026-07-06 17:20:20,7444,Start,ON,214.05
2026-07-06 17:22:47,7444,Stop,OFF,214.05
2026-07-06 17:23:10,7445,Start,OFF,214.05
2026-07-06 17:23:57,7445,Stop,OFF,214.05
2026-07-06 17:24:13,7446,Start,OFF,214.05
2026-07-06 17:25:42,7446,Stop,OFF,214.05
2026-07-06 17:26:44,7447,Start,OFF,214.05
2026-07-06 17:31:00,7447,Stop,ON,214.05
2026-07-06 17:31:17,7448,Start,ON,214.05
2026-07-06 17:32:18,7448,Stop,ON,214.05
2026-07-06 17:32:37,7449,Start,OFF,214.05
2026-07-06 17:33:38,7449,Stop,OFF,214.05
2026-07-06 17:35:43,7450,Start,OFF,214.05
2026-07-06 17:38:28,7450,Stop,ON,214.05
2026-07-06 17:38:48,7451,Start,ON,214.05
2026-07-06 17:40:26,7451,Stop,ON,214.05
2026-07-06 17:40:26,7452,Start,ON,214.05
2026-07-06 17:41:48,7452,Stop,ON,214.05
2026-07-06 17:41:48,7453,Start,ON,OFF
2026-07-06 17:44:21,7453,Stop,ON,214.05
2026-07-06 17:44:25,7454,Start,ON,214.05
2026-07-06 17:45:25,7454,Stop,ON,214.05
2026-07-06 17:45:32,7455,Start,OFF,214.05
2026-07-06 17:46:33,7455,Stop,OFF,214.05
2026-07-06 17:48:33,7456,Start,ON,214.05
2026-07-06 17:48:42,7456,Stop,ON,214.05
2026-07-06 17:49:10,7457,Start,ON,214.05
2026-07-06 17:50:11,7457,Stop,ON,214.05
2026-07-06 17:50:20,7458,Start,OFF,214.05
2026-07-06 17:51:28,7458,Stop,OFF,214.05
2026-07-06 17:51:57,7459,Start,ON,214.05
2026-07-06 17:52:57,7459,Stop,ON,214.05
2026-07-06 17:53:03,7460,Start,OFF,214.05
2026-07-06 17:54:05,7460,Stop,OFF,214.05
2026-07-06 17:54:37,7461,Start,OFF,214.05
2026-07-06 17:54:42,7461,Stop,OFF,214.05
2026-07-06 17:54:47,7462,Start,OFF,214.05
2026-07-06 17:54:56,7462,Stop,OFF,214.05
2026-07-06 17:57:00,7463,Start,ON,214.05
2026-07-06 17:58:01,7463,Stop,ON,214.05
2026-07-06 17:58:29,7464,Start,OFF,214.05
2026-07-06 17:59:31,7464,Stop,OFF,214.05
2026-07-06 18:01:05,7465,Start,ON,214.05
2026-07-06 18:02:06,7465,Stop,ON,214.05
2026-07-06 18:02:15,7466,Start,OFF,OFF
2026-07-06 18:03:16,7466,Stop,OFF,214.05
2026-07-06 18:03:56,7467,Start,ON,214.05
2026-07-06 18:04:57,7467,Stop,ON,214.05
2026-07-06 18:05:04,7468,Start,OFF,214.05
2026-07-06 18:06:05,7468,Stop,OFF,214.05
2026-07-06 18:06:30,7469,Start,ON,214.05
2026-07-06 18:07:31,7469,Stop,ON,214.05
2026-07-06 18:07:38,7470,Start,OFF,214.05
2026-07-06 18:08:39,7470,Stop,OFF,214.05
2026-07-06 18:09:14,7471,Start,ON,214.05
2026-07-06 18:10:15,7471,Stop,ON,214.05
2026-07-06 18:10:22,7472,Start,OFF,214.05
2026-07-06 18:11:23,7472,Stop,OFF,214.05
2026-07-06 18:12:48,7473,Start,ON,214.05
2026-07-06 18:13:51,7473,Stop,ON,214.05
2026-07-06 18:13:55,7474,Start,OFF,214.05
2026-07-06 18:14:56,7474,Stop,OFF,214.05
2026-07-06 18:15:25,7475,Start,ON,214.05
2026-07-06 18:16:26,7475,Stop,ON,214.05
2026-07-06 18:16:30,7476,Start,OFF,214.05
2026-07-06 18:17:31,7476,Stop,OFF,214.05
2026-07-06 18:17:41,7477,Start,ON,214.05
2026-07-06 18:19:43,7477,Stop,ON,214.05
2026-07-06 18:19:50,7478,Start,OFF,214.05
2026-07-06 18:21:51,7478,Stop,OFF,214.05
2026-07-06 18:23:37,7479,Start,ON,214.05
2026-07-06 18:23:53,7479,Stop,ON,214.05
2026-07-06 18:29:07,7480,Start,ON,214.05
2026-07-06 18:29:19,7480,Stop,ON,214.05
2026-07-06 18:29:26,7481,Start,ON,214.05
