Time,Run,Scan status,Ablation status,OPO Wavelength
2025-09-03 10:53:00,3864,Start,ON,OFF
2025-09-03 10:53:14,3864,Stop,ON,OFF
2025-09-03 10:53:25,3865,Start,ON,OFF
2025-09-03 10:54:56,3865,Stop,ON,OFF
2025-09-03 10:55:15,3866,Start,OFF,OFF
2025-09-03 10:55:31,3866,Stop,OFF,OFF
2025-09-03 10:55:33,3867,Start,OFF,OFF
2025-09-03 10:57:04,3867,Stop,OFF,OFF
2025-09-03 10:58:08,3868,Start,ON,OFF
2025-09-03 10:59:40,3868,Stop,ON,OFF
2025-09-03 11:02:11,3869,Start,OFF,OFF
2025-09-03 11:03:42,3869,Stop,OFF,OFF
2025-09-03 11:04:25,3870,Start,ON,OFF
2025-09-03 11:05:56,3870,Stop,ON,OFF
2025-09-03 11:06:05,3871,Start,OFF,OFF
2025-09-03 11:07:36,3871,Stop,OFF,OFF
2025-09-03 11:09:07,3872,Start,ON,OFF
2025-09-03 11:10:37,3872,Stop,ON,OFF
