Time,Run,Scan status,Ablation status,OPO Wavelength
2025-10-17 16:59:52,6102,Start,ON,214.00
2025-10-17 17:00:03,6102,Stop,ON,214.00
2025-10-17 17:00:04,6103,Start,ON,214.10
2025-10-17 17:00:15,6103,Stop,ON,214.10
2025-10-17 17:00:17,6104,Start,ON,214.20
2025-10-17 17:00:28,6104,Stop,ON,214.20
2025-10-17 17:00:29,6105,Start,ON,214.30
2025-10-17 17:00:40,6105,Stop,ON,214.30
2025-10-17 17:00:42,6106,Start,ON,214.40
2025-10-17 17:00:53,6106,Stop,ON,214.40
2025-10-17 17:00:55,6107,Start,ON,214.50
2025-10-17 17:01:05,6107,Stop,ON,214.50
2025-10-17 17:01:07,6108,Start,ON,214.60
2025-10-17 17:01:18,6108,Stop,ON,214.60
2025-10-17 17:01:20,6109,Start,ON,214.70
2025-10-17 17:01:31,6109,Stop,ON,214.70
2025-10-17 17:01:32,6110,Start,ON,214.80
2025-10-17 17:01:43,6110,Stop,ON,214.80
2025-10-17 17:01:45,6111,Start,ON,214.90
2025-10-17 17:01:56,6111,Stop,ON,214.90
2025-10-17 17:01:57,6112,Start,ON,215.00
2025-10-17 17:02:08,6112,Stop,ON,215.00
