Time,Run,Scan status,Ablation status,OPO Wavelength
2025-09-03 11:27:52,3877,Start,OFF,OFF
2025-09-03 11:28:14,3877,Stop,OFF,OFF
2025-09-03 11:28:20,3878,Start,ON,OFF
2025-09-03 11:29:51,3878,Stop,ON,OFF
2025-09-03 11:30:28,3879,Start,OFF,OFF
2025-09-03 11:31:58,3879,Stop,OFF,OFF
2025-09-03 11:35:14,3880,Start,ON,OFF
2025-09-03 11:36:46,3880,Stop,ON,OFF
2025-09-03 11:37:11,3881,Start,OFF,OFF
2025-09-03 11:38:45,3881,Stop,OFF,OFF
2025-09-03 11:39:43,3882,Start,ON,OFF
2025-09-03 11:41:14,3882,Stop,ON,OFF
2025-09-03 11:43:41,3883,Start,ON,OFF
2025-09-03 11:45:12,3883,Stop,ON,OFF
2025-09-03 11:45:24,3884,Start,OFF,OFF
2025-09-03 11:46:59,3884,Stop,OFF,OFF
2025-09-03 11:50:32,3885,Start,ON,OFF
2025-09-03 11:52:04,3885,Stop,ON,OFF
2025-09-03 11:52:12,3886,Start,OFF,OFF
2025-09-03 11:53:43,3886,Stop,OFF,OFF
2025-09-03 11:55:27,3887,Start,ON,OFF
2025-09-03 11:56:58,3887,Stop,ON,OFF
2025-09-03 11:57:08,3888,Start,OFF,OFF
2025-09-03 11:58:39,3888,Stop,OFF,OFF
2025-09-03 11:59:44,3889,Start,ON,OFF
2025-09-03 12:01:15,3889,Stop,ON,OFF
2025-09-03 12:01:22,3890,Start,OFF,OFF
2025-09-03 12:02:53,3890,Stop,OFF,OFF
2025-09-03 12:04:16,3891,Start,ON,OFF
2025-09-03 12:05:47,3891,Stop,ON,OFF
2025-09-03 12:05:56,3892,Start,OFF,OFF
2025-09-03 12:07:27,3892,Stop,OFF,OFF
2025-09-03 12:08:19,3893,Start,ON,OFF
2025-09-03 12:09:52,3893,Stop,ON,OFF
2025-09-03 12:10:04,3894,Start,OFF,OFF
2025-09-03 12:11:35,3894,Stop,OFF,OFF
2025-09-03 14:09:56,3895,Start,ON,OFF
2025-09-03 14:11:27,3895,Stop,ON,OFF
2025-09-03 14:11:40,3896,Start,OFF,OFF
2025-09-03 14:13:10,3896,Stop,OFF,OFF
2025-09-03 14:15:26,3897,Start,ON,OFF
2025-09-03 14:16:57,3897,Stop,ON,OFF
2025-09-03 14:17:04,3898,Start,OFF,OFF
2025-09-03 14:18:35,3898,Stop,OFF,OFF
2025-09-03 14:22:13,3899,Start,OFF,OFF
2025-09-03 14:22:20,3899,Stop,OFF,OFF
2025-09-03 14:22:25,3900,Start,ON,OFF
2025-09-03 14:23:55,3900,Stop,ON,OFF
2025-09-03 14:24:05,3901,Start,OFF,OFF
2025-09-03 14:25:36,3901,Stop,OFF,OFF
2025-09-03 14:32:17,3902,Start,OFF,OFF
2025-09-03 14:42:36,3902,Stop,ON,OFF
2025-09-03 14:46:30,3903,Start,ON,OFF
2025-09-03 14:51:16,3903,Stop,ON,OFF
2025-09-03 14:51:17,3904,Start,ON,OFF
2025-09-03 15:24:34,3904,Stop,ON,OFF
2025-09-03 15:26:59,3905,Start,ON,OFF
2025-09-03 15:35:52,3905,Stop,ON,OFF
2025-09-03 15:38:49,3906,Start,ON,OFF
2025-09-03 16:14:17,3906,Stop,ON,OFF
2025-09-03 16:27:11,3907,Start,ON,OFF
2025-09-03 16:59:13,3907,Stop,ON,OFF
2025-09-03 17:05:33,3908,Start,OFF,OFF
2025-09-03 17:06:09,3908,Stop,OFF,OFF
2025-09-03 17:06:54,3909,Start,OFF,OFF
2025-09-03 17:41:56,3909,Stop,OFF,OFF
2025-09-03 17:45:24,3910,Start,OFF,OFF
