Time,Run,Scan status,Ablation status,OPO Wavelength
2025-09-19 16:05:34,4764,Start,OFF,216.25
2025-09-19 16:05:37,4764,Stop,OFF,216.25
2025-09-19 16:05:41,4765,Start,OFF,216.25
2025-09-19 16:15:08,4765,Stop,OFF,216.25
2025-09-19 16:15:35,4766,Start,ON,216.25
2025-09-19 16:17:07,4766,Stop,ON,216.25
2025-09-19 16:17:47,4767,Start,ON,216.25
2025-09-19 16:19:18,4767,Stop,ON,216.25
2025-09-19 16:19:24,4768,Start,OFF,216.25
2025-09-19 16:20:55,4768,Stop,OFF,216.25
2025-09-19 16:41:12,4769,Start,ON,216.25
2025-09-19 16:42:43,4769,Stop,ON,216.25
2025-09-19 16:42:50,4770,Start,OFF,216.25
2025-09-19 16:44:21,4770,Stop,OFF,216.25
2025-09-19 16:46:14,4771,Start,ON,216.25
2025-09-19 16:47:45,4771,Stop,ON,216.25
2025-09-19 16:47:50,4772,Start,OFF,216.25
2025-09-19 16:49:22,4772,Stop,OFF,216.25
2025-09-19 16:51:22,4773,Start,ON,216.25
2025-09-19 16:52:54,4773,Stop,ON,216.25
2025-09-19 16:52:59,4774,Start,OFF,216.25
2025-09-19 16:54:30,4774,Stop,OFF,216.25
2025-09-19 16:56:41,4775,Start,ON,216.25
2025-09-19 16:58:11,4775,Stop,ON,216.25
2025-09-19 16:58:16,4776,Start,OFF,216.25
2025-09-19 16:59:56,4776,Stop,OFF,216.25
2025-09-19 17:01:12,4777,Start,ON,216.25
2025-09-19 17:02:45,4777,Stop,ON,216.25
2025-09-19 17:02:50,4778,Start,OFF,216.25
2025-09-19 17:04:21,4778,Stop,OFF,216.25
2025-09-19 17:05:01,4779,Start,ON,216.25
2025-09-19 17:06:33,4779,Stop,ON,216.25
2025-09-19 17:06:38,4780,Start,OFF,216.25
2025-09-19 17:08:09,4780,Stop,OFF,216.25
2025-09-19 17:19:50,4781,Start,ON,216.25
2025-09-19 17:21:23,4781,Stop,ON,216.25
2025-09-19 17:21:30,4782,Start,OFF,216.25
2025-09-19 17:23:01,4782,Stop,OFF,216.25
2025-09-19 17:23:47,4783,Start,ON,216.25
2025-09-19 17:25:19,4783,Stop,ON,216.25
2025-09-19 17:25:23,4784,Start,OFF,216.25
2025-09-19 17:26:54,4784,Stop,OFF,216.25
2025-09-19 17:28:18,4785,Start,ON,216.25
2025-09-19 17:29:49,4785,Stop,ON,216.25
2025-09-19 17:29:56,4786,Start,OFF,216.25
2025-09-19 17:31:27,4786,Stop,OFF,216.25
2025-09-22 12:09:01,4787,Start,ON,216.25
2025-09-22 12:09:17,4787,Stop,ON,216.25
2025-09-22 12:09:23,4788,Start,ON,216.25
2025-09-22 12:10:59,4788,Stop,ON,216.25
2025-09-22 12:10:59,4789,Start,ON,216.25
2025-09-22 12:11:00,4789,Stop,ON,216.25
2025-09-22 12:11:07,4790,Start,ON,216.25
2025-09-22 12:12:38,4790,Stop,ON,216.25
2025-09-22 12:12:44,4791,Start,OFF,216.25
2025-09-22 12:14:16,4791,Stop,OFF,216.25
2025-09-22 12:16:06,4792,Start,ON,216.25
2025-09-22 12:17:36,4792,Stop,ON,216.25
2025-09-22 12:17:41,4793,Start,OFF,216.25
2025-09-22 12:19:12,4793,Stop,OFF,216.25
2025-09-22 12:20:42,4794,Start,ON,216.25
2025-09-22 12:22:13,4794,Stop,ON,216.25
2025-09-22 12:22:18,4795,Start,OFF,216.25
2025-09-22 12:23:49,4795,Stop,OFF,216.25
2025-09-22 12:25:01,4796,Start,ON,216.25
2025-09-22 12:26:32,4796,Stop,ON,216.25
2025-09-22 12:26:37,4797,Start,OFF,216.25
2025-09-22 12:28:09,4797,Stop,OFF,216.25
2025-09-22 12:29:12,4798,Start,ON,216.25
2025-09-22 12:30:43,4798,Stop,ON,216.25
2025-09-22 12:30:49,4799,Start,OFF,216.25
2025-09-22 12:32:20,4799,Stop,OFF,216.25
2025-09-22 12:34:03,4800,Start,ON,216.25
2025-09-22 12:35:37,4800,Stop,ON,216.25
2025-09-22 12:35:43,4801,Start,OFF,216.25
2025-09-22 12:37:14,4801,Stop,OFF,216.25
2025-09-22 12:39:22,4802,Start,ON,216.25
2025-09-22 12:40:53,4802,Stop,ON,216.25
2025-09-22 12:40:59,4803,Start,OFF,216.25
2025-09-22 12:42:30,4803,Stop,OFF,216.25
2025-09-22 12:44:24,4804,Start,ON,216.25
2025-09-22 12:45:56,4804,Stop,ON,216.25
2025-09-22 12:46:02,4805,Start,OFF,216.25
2025-09-22 12:47:32,4805,Stop,OFF,216.25
2025-09-22 12:49:19,4806,Start,ON,216.25
2025-09-22 12:50:50,4806,Stop,ON,216.25
2025-09-22 12:50:55,4807,Start,OFF,216.25
2025-09-22 12:52:25,4807,Stop,OFF,216.25
2025-09-22 12:53:13,4808,Start,ON,216.25
2025-09-22 12:54:45,4808,Stop,ON,216.25
2025-09-22 12:54:50,4809,Start,OFF,216.25
2025-09-22 12:56:21,4809,Stop,OFF,216.25
2025-09-22 12:57:17,4810,Start,ON,216.25
2025-09-22 12:58:48,4810,Stop,ON,216.25
2025-09-22 12:58:52,4811,Start,OFF,216.25
2025-09-22 13:00:24,4811,Stop,OFF,216.25
2025-09-22 13:36:37,4812,Start,ON,216.25
2025-09-22 13:38:08,4812,Stop,ON,216.25
2025-09-22 13:38:17,4813,Start,OFF,216.25
2025-09-22 13:39:48,4813,Stop,OFF,216.25
2025-09-22 13:41:24,4814,Start,ON,216.25
2025-09-22 13:43:01,4814,Stop,ON,216.25
2025-09-22 13:43:14,4815,Start,OFF,216.25
2025-09-22 13:44:45,4815,Stop,OFF,216.25
2025-09-22 13:46:23,4816,Start,ON,216.25
2025-09-22 13:47:54,4816,Stop,ON,216.25
2025-09-22 13:48:17,4817,Start,ON,216.25
