Time,Run,Scan status,Ablation status,OPO Wavelength
2025-09-09 10:19:11,4485,Start,ON,210.00
2025-09-09 10:19:22,4485,Stop,ON,210.00
2025-09-09 10:19:22,4486,Start,OFF,210.00
2025-09-09 10:19:33,4486,Stop,OFF,210.00
2025-09-09 10:19:35,4487,Start,ON,210.01
2025-09-09 10:19:46,4487,Stop,ON,210.01
2025-09-09 10:19:46,4488,Start,OFF,210.01
2025-09-09 10:19:57,4488,Stop,OFF,210.01
2025-09-09 10:19:59,4489,Start,ON,210.02
2025-09-09 10:20:10,4489,Stop,ON,210.02
2025-09-09 10:20:11,4490,Start,OFF,210.02
2025-09-09 10:20:22,4490,Stop,OFF,210.02
2025-09-09 10:20:24,4491,Start,ON,210.03
2025-09-09 10:20:35,4491,Stop,ON,210.03
2025-09-09 10:20:35,4492,Start,OFF,210.03
2025-09-09 10:20:46,4492,Stop,OFF,210.03
2025-09-09 10:20:48,4493,Start,ON,210.04
2025-09-09 10:20:59,4493,Stop,ON,210.04
2025-09-09 10:20:59,4494,Start,OFF,210.04
2025-09-09 10:21:10,4494,Stop,OFF,210.04
2025-09-09 10:21:13,4495,Start,ON,210.05
2025-09-09 10:21:23,4495,Stop,ON,210.05
2025-09-09 10:21:24,4496,Start,OFF,210.05
2025-09-09 10:21:34,4496,Stop,OFF,210.05
2025-09-09 10:21:37,4497,Start,ON,210.06
2025-09-09 10:21:47,4497,Stop,ON,210.06
2025-09-09 10:21:47,4498,Start,OFF,210.06
2025-09-09 10:21:58,4498,Stop,OFF,210.06
2025-09-09 10:22:00,4499,Start,ON,210.07
2025-09-09 10:22:11,4499,Stop,ON,210.07
2025-09-09 10:22:11,4500,Start,OFF,210.07
2025-09-09 10:22:22,4500,Stop,OFF,210.07
2025-09-09 10:22:25,4501,Start,ON,210.08
2025-09-09 10:22:35,4501,Stop,ON,210.08
2025-09-09 10:22:35,4502,Start,OFF,210.08
2025-09-09 10:22:46,4502,Stop,OFF,210.08
2025-09-09 10:22:48,4503,Start,ON,210.09
2025-09-09 10:22:58,4503,Stop,ON,210.09
2025-09-09 10:22:59,4504,Start,OFF,210.09
2025-09-09 10:23:00,4504,Stop,OFF,OFF
