Time,Run,Scan status,Ablation status,OPO Wavelength
2025-10-16 17:27:28,5773,Start,OFF,216.10
2025-10-16 17:27:41,5773,Stop,OFF,216.10
2025-10-16 17:27:47,5774,Start,OFF,216.10
2025-10-16 17:29:21,5774,Stop,ON,216.10
2025-10-16 17:29:22,5775,Start,ON,216.10
2025-10-16 17:29:30,5775,Stop,ON,216.10
2025-10-16 17:44:22,5776,Start,ON,216.10
2025-10-16 17:44:32,5776,Stop,ON,216.10
2025-10-16 17:44:35,5777,Start,OFF,216.10
2025-10-16 17:44:40,5777,Stop,OFF,216.10
2025-10-16 17:50:41,5778,Start,OFF,216.10
2025-10-16 17:51:15,5778,Stop,OFF,216.10
2025-10-16 17:54:23,5779,Start,ON,216.10
2025-10-16 17:54:55,5779,Stop,ON,216.10
2025-10-16 17:55:15,5780,Start,ON,216.10
2025-10-16 17:55:46,5780,Stop,ON,216.10
2025-10-16 17:55:58,5781,Start,ON,216.10
2025-10-16 17:56:23,5781,Stop,ON,216.10
2025-10-16 17:56:35,5782,Start,ON,216.10
2025-10-16 17:56:45,5782,Stop,ON,216.10
2025-10-16 17:56:49,5783,Start,ON,216.10
2025-10-16 17:57:20,5783,Stop,ON,216.10
2025-10-16 18:01:26,5784,Start,ON,215.90
2025-10-16 18:01:58,5784,Stop,ON,215.90
2025-10-16 18:03:02,5785,Start,ON,215.90
2025-10-16 18:13:16,5785,Stop,ON,215.90
2025-10-16 18:13:32,5786,Start,ON,215.90
2025-10-16 18:13:35,5786,Stop,ON,215.90
2025-10-16 18:13:39,5787,Start,ON,215.90
2025-10-16 18:14:13,5787,Stop,ON,215.90
2025-10-16 18:14:52,5788,Start,ON,216.10
2025-10-16 18:15:23,5788,Stop,ON,216.10
2025-10-16 18:15:39,5789,Start,ON,216.10
2025-10-16 18:15:50,5789,Stop,ON,216.10
2025-10-16 18:17:54,5790,Start,ON,216.10
2025-10-16 18:18:26,5790,Stop,ON,216.10
2025-10-16 18:18:58,5791,Start,ON,215.90
2025-10-16 18:19:29,5791,Stop,ON,215.90
2025-10-16 18:21:18,5792,Start,ON,215.90
2025-10-16 18:21:50,5792,Stop,ON,215.90
2025-10-16 18:22:02,5793,Start,ON,215.90
2025-10-16 18:22:22,5793,Stop,ON,215.90
2025-10-16 18:22:29,5794,Start,OFF,215.90
2025-10-16 18:22:47,5794,Stop,OFF,215.90
2025-10-16 18:23:03,5795,Start,ON,215.90
2025-10-16 18:23:15,5795,Stop,ON,215.90
2025-10-16 18:23:27,5796,Start,ON,215.90
2025-10-16 18:23:34,5796,Stop,ON,215.90
2025-10-16 18:23:45,5797,Start,ON,215.90
2025-10-16 18:24:17,5797,Stop,ON,215.90
2025-10-16 18:24:38,5798,Start,ON,216.10
2025-10-16 18:25:09,5798,Stop,ON,216.10
2025-10-16 18:25:21,5799,Start,ON,216.10
2025-10-16 18:25:28,5799,Stop,ON,216.10
2025-10-16 18:25:39,5800,Start,ON,216.10
2025-10-16 18:25:58,5800,Stop,ON,216.10
2025-10-16 18:26:07,5801,Start,ON,216.10
2025-10-16 18:26:21,5801,Stop,ON,216.10
2025-10-16 18:26:23,5802,Start,OFF,216.10
2025-10-16 18:26:35,5802,Stop,OFF,216.10
2025-10-16 18:26:53,5803,Start,ON,216.10
2025-10-16 18:26:59,5803,Stop,ON,216.10
2025-10-16 18:27:03,5804,Start,ON,216.10
2025-10-16 18:27:07,5804,Stop,ON,216.10
2025-10-16 18:27:28,5805,Start,ON,216.10
2025-10-16 18:27:46,5805,Stop,ON,216.10
2025-10-16 18:27:52,5806,Start,ON,216.15
2025-10-16 18:27:57,5806,Stop,ON,216.15
2025-10-16 18:28:02,5807,Start,ON,216.10
2025-10-16 18:28:27,5807,Stop,ON,216.10
2025-10-16 18:28:28,5808,Start,ON,216.10
2025-10-16 18:28:54,5808,Stop,ON,216.10
2025-10-16 18:28:55,5809,Start,ON,216.10
2025-10-16 18:29:18,5809,Stop,ON,216.10
2025-10-16 18:29:30,5810,Start,ON,216.10
2025-10-16 18:29:37,5810,Stop,ON,216.10
2025-10-16 18:29:53,5811,Start,ON,214.05
2025-10-16 18:30:01,5811,Stop,ON,214.05
2025-10-16 18:30:04,5812,Start,OFF,214.05
2025-10-16 18:30:13,5812,Stop,OFF,214.05
2025-10-16 18:31:18,5813,Start,ON,214.05
2025-10-16 18:32:07,5813,Stop,ON,214.05
2025-10-16 18:32:08,5814,Start,OFF,214.05
2025-10-16 18:32:52,5814,Stop,OFF,214.05
2025-10-16 18:33:04,5815,Start,ON,214.05
2025-10-16 18:33:14,5815,Stop,ON,214.05
2025-10-16 18:33:18,5816,Start,ON,214.05
2025-10-16 18:33:28,5816,Stop,ON,214.05
2025-10-16 18:33:30,5817,Start,OFF,214.05
2025-10-16 18:33:34,5817,Stop,OFF,214.05
2025-10-16 18:33:40,5818,Start,ON,214.05
2025-10-16 18:34:11,5818,Stop,ON,214.05
2025-10-16 18:34:18,5819,Start,OFF,214.05
2025-10-16 18:34:49,5819,Stop,OFF,214.05
2025-10-16 18:36:26,5820,Start,ON,214.25
2025-10-16 18:36:57,5820,Stop,ON,214.25
2025-10-16 18:37:03,5821,Start,OFF,214.25
2025-10-16 18:37:34,5821,Stop,OFF,214.25
2025-10-16 18:39:56,5822,Start,ON,214.05
2025-10-16 18:40:28,5822,Stop,ON,214.05
2025-10-16 18:40:31,5823,Start,OFF,214.05
2025-10-16 18:41:02,5823,Stop,OFF,214.05
2025-10-16 18:41:14,5824,Start,ON,214.25
2025-10-16 18:41:46,5824,Stop,ON,214.25
2025-10-16 18:41:50,5825,Start,OFF,214.25
2025-10-16 18:42:22,5825,Stop,OFF,214.25
2025-10-16 18:44:12,5826,Start,ON,214.05
2025-10-16 18:44:43,5826,Stop,ON,214.05
2025-10-16 18:44:47,5827,Start,OFF,214.05
2025-10-16 18:45:19,5827,Stop,OFF,214.05
2025-10-16 18:45:29,5828,Start,ON,214.25
2025-10-16 18:46:00,5828,Stop,ON,214.25
2025-10-16 18:46:05,5829,Start,OFF,214.25
2025-10-16 18:46:37,5829,Stop,OFF,214.25
2025-10-17 11:16:03,5830,Start,ON,214.05
2025-10-17 11:16:34,5830,Stop,ON,214.05
2025-10-17 11:16:50,5831,Start,OFF,214.05
2025-10-17 11:17:24,5831,Stop,OFF,214.05
2025-10-17 11:20:09,5832,Start,ON,214.05
2025-10-17 11:20:41,5832,Stop,ON,214.05
2025-10-17 11:22:20,5833,Start,ON,214.25
2025-10-17 11:22:52,5833,Stop,ON,214.25
2025-10-17 11:23:15,5834,Start,OFF,214.25
2025-10-17 11:23:47,5834,Stop,OFF,214.25
2025-10-17 11:27:55,5835,Start,ON,216.10
2025-10-17 11:28:27,5835,Stop,ON,216.10
2025-10-17 11:28:32,5836,Start,OFF,216.10
2025-10-17 11:29:03,5836,Stop,OFF,216.10
2025-10-17 11:29:26,5837,Start,ON,215.90
2025-10-17 11:29:58,5837,Stop,ON,215.90
2025-10-17 11:30:34,5838,Start,ON,215.90
2025-10-17 11:31:04,5838,Stop,ON,215.90
2025-10-17 11:31:09,5839,Start,OFF,215.90
2025-10-17 11:31:43,5839,Stop,OFF,215.90
2025-10-17 11:37:00,5840,Start,ON,218.20
2025-10-17 11:37:31,5840,Stop,ON,218.20
2025-10-17 11:37:36,5841,Start,OFF,218.20
2025-10-17 11:38:08,5841,Stop,OFF,218.20
2025-10-17 11:39:36,5842,Start,ON,218.00
2025-10-17 11:40:08,5842,Stop,ON,218.00
2025-10-17 11:40:13,5843,Start,OFF,218.00
2025-10-17 11:40:45,5843,Stop,OFF,218.00
2025-10-17 11:43:56,5844,Start,ON,214.70
2025-10-17 11:44:28,5844,Stop,ON,214.70
2025-10-17 11:44:33,5845,Start,OFF,214.70
2025-10-17 11:45:05,5845,Stop,OFF,214.70
2025-10-17 11:46:10,5846,Start,ON,214.90
2025-10-17 11:46:40,5846,Stop,ON,214.90
2025-10-17 11:46:45,5847,Start,OFF,214.90
2025-10-17 11:47:17,5847,Stop,OFF,214.90
2025-10-17 11:50:32,5848,Start,ON,211.30
2025-10-17 11:51:03,5848,Stop,ON,211.30
2025-10-17 11:51:23,5849,Start,OFF,211.30
2025-10-17 11:51:55,5849,Stop,OFF,211.30
2025-10-17 11:54:42,5850,Start,OFF,211.30
2025-10-17 11:55:13,5850,Stop,OFF,211.30
2025-10-17 11:55:18,5851,Start,ON,211.30
2025-10-17 11:55:49,5851,Stop,ON,211.30
2025-10-17 11:55:53,5852,Start,OFF,211.30
2025-10-17 11:56:25,5852,Stop,OFF,211.30
2025-10-17 11:56:45,5853,Start,ON,211.70
2025-10-17 11:57:17,5853,Stop,ON,211.70
2025-10-17 11:57:29,5854,Start,OFF,211.70
2025-10-17 11:58:00,5854,Stop,OFF,211.70
2025-10-17 11:58:19,5855,Start,ON,211.70
2025-10-17 11:58:41,5855,Stop,ON,211.70
2025-10-17 11:58:48,5856,Start,OFF,211.70
2025-10-17 11:59:19,5856,Stop,OFF,211.70
2025-10-17 12:02:21,5857,Start,ON,210.50
2025-10-17 12:02:53,5857,Stop,ON,210.50
2025-10-17 12:02:57,5858,Start,OFF,210.50
2025-10-17 12:03:30,5858,Stop,OFF,210.50
2025-10-17 12:04:59,5859,Start,ON,210.70
2025-10-17 12:05:31,5859,Stop,ON,210.70
2025-10-17 12:05:35,5860,Start,OFF,210.70
2025-10-17 12:06:07,5860,Stop,OFF,210.70
2025-10-17 12:08:58,5861,Start,ON,213.45
2025-10-17 12:09:31,5861,Stop,ON,213.45
2025-10-17 12:09:39,5862,Start,OFF,213.45
2025-10-17 12:10:11,5862,Stop,OFF,213.45
2025-10-17 12:12:00,5863,Start,ON,213.70
2025-10-17 12:12:32,5863,Stop,ON,213.70
2025-10-17 12:12:39,5864,Start,OFF,213.70
2025-10-17 12:13:11,5864,Stop,OFF,213.70
2025-10-17 12:15:30,5865,Start,ON,216.80
2025-10-17 12:16:01,5865,Stop,ON,216.80
2025-10-17 12:16:04,5866,Start,OFF,216.80
2025-10-17 12:16:38,5866,Stop,OFF,216.80
2025-10-17 12:17:32,5867,Start,ON,217.00
2025-10-17 12:18:03,5867,Stop,ON,217.00
2025-10-17 12:18:07,5868,Start,OFF,217.00
2025-10-17 12:18:39,5868,Stop,OFF,217.00
2025-10-17 12:21:02,5869,Start,ON,216.30
2025-10-17 12:21:33,5869,Stop,ON,216.30
2025-10-17 12:21:39,5870,Start,OFF,216.30
2025-10-17 12:22:10,5870,Stop,OFF,216.30
2025-10-17 12:23:13,5871,Start,ON,216.40
2025-10-17 12:23:24,5871,Stop,ON,216.40
2025-10-17 12:23:40,5872,Start,ON,216.40
2025-10-17 12:24:11,5872,Stop,ON,216.40
2025-10-17 12:24:21,5873,Start,ON,216.40
2025-10-17 12:24:53,5873,Stop,ON,216.40
2025-10-17 12:24:57,5874,Start,OFF,216.40
2025-10-17 12:25:29,5874,Stop,OFF,216.40
2025-10-17 12:27:28,5875,Start,ON,216.50
2025-10-17 12:28:03,5875,Stop,ON,216.50
2025-10-17 12:28:07,5876,Start,OFF,216.50
2025-10-17 12:28:40,5876,Stop,OFF,216.50
2025-10-17 12:30:21,5877,Start,ON,216.70
2025-10-17 12:30:52,5877,Stop,ON,216.70
2025-10-17 12:30:57,5878,Start,OFF,216.70
2025-10-17 12:31:29,5878,Stop,OFF,216.70
2025-10-17 12:34:15,5879,Start,ON,216.65
2025-10-17 12:34:47,5879,Stop,ON,216.65
2025-10-17 12:34:54,5880,Start,OFF,216.65
2025-10-17 12:34:56,5880,Stop,OFF,216.65
2025-10-17 12:35:00,5881,Start,OFF,216.65
2025-10-17 12:35:31,5881,Stop,OFF,216.65
2025-10-17 12:36:18,5882,Start,ON,216.75
2025-10-17 12:36:35,5882,Stop,ON,216.75
2025-10-17 12:37:29,5883,Start,ON,216.75
2025-10-17 12:38:00,5883,Stop,ON,216.75
2025-10-17 12:38:04,5884,Start,OFF,216.75
2025-10-17 12:38:35,5884,Stop,OFF,216.75
2025-10-17 12:42:46,5885,Start,ON,212.70
2025-10-17 12:43:17,5885,Stop,ON,212.70
2025-10-17 12:43:22,5886,Start,OFF,212.70
2025-10-17 12:43:53,5886,Stop,OFF,212.70
2025-10-17 12:45:46,5887,Start,ON,212.40
2025-10-17 12:46:17,5887,Stop,ON,212.40
2025-10-17 12:46:20,5888,Start,ON,212.40
2025-10-17 12:46:51,5888,Stop,ON,212.40
2025-10-17 12:48:38,5889,Start,ON,216.10
2025-10-17 12:49:09,5889,Stop,ON,216.10
2025-10-17 12:49:30,5890,Start,ON,216.10
2025-10-17 12:49:38,5890,Stop,ON,216.10
2025-10-17 12:50:05,5891,Start,ON,216.10
2025-10-17 12:50:36,5891,Stop,ON,216.10
2025-10-17 12:50:41,5892,Start,OFF,216.10
2025-10-17 12:51:12,5892,Stop,OFF,216.10
2025-10-17 12:51:47,5893,Start,ON,215.90
2025-10-17 12:52:17,5893,Stop,ON,215.90
2025-10-17 12:52:22,5894,Start,OFF,215.90
2025-10-17 12:52:54,5894,Stop,OFF,215.90
2025-10-17 14:59:54,5895,Start,ON,216.10
2025-10-17 15:01:25,5895,Stop,ON,213.70
2025-10-17 15:01:26,5896,Start,OFF,213.70
2025-10-17 15:02:03,5896,Stop,OFF,213.70
2025-10-17 15:03:07,5897,Start,ON,213.70
2025-10-17 15:03:11,5897,Stop,ON,213.70
2025-10-17 15:03:11,5898,Start,OFF,213.70
2025-10-17 15:03:15,5898,Stop,OFF,213.70
2025-10-17 15:03:16,5899,Start,ON,213.70
2025-10-17 15:03:20,5899,Stop,ON,213.70
2025-10-17 15:03:21,5900,Start,OFF,213.70
2025-10-17 15:03:24,5900,Stop,OFF,213.70
2025-10-17 15:03:25,5901,Start,ON,213.70
2025-10-17 15:03:29,5901,Stop,ON,213.70
2025-10-17 15:03:29,5902,Start,OFF,213.70
2025-10-17 15:03:32,5902,Stop,OFF,213.70
2025-10-17 15:03:33,5903,Start,ON,213.70
2025-10-17 15:03:37,5903,Stop,ON,213.70
2025-10-17 15:03:37,5904,Start,OFF,213.70
2025-10-17 15:03:41,5904,Stop,OFF,213.70
2025-10-17 15:03:41,5905,Start,ON,213.70
2025-10-17 15:03:45,5905,Stop,ON,213.70
2025-10-17 15:03:45,5906,Start,OFF,213.70
2025-10-17 15:03:49,5906,Stop,OFF,213.70
2025-10-17 15:03:50,5907,Start,ON,213.70
2025-10-17 15:03:53,5907,Stop,ON,213.70
2025-10-17 15:03:54,5908,Start,OFF,213.70
2025-10-17 15:03:57,5908,Stop,OFF,213.70
2025-10-17 15:03:58,5909,Start,ON,213.70
2025-10-17 15:04:02,5909,Stop,ON,213.70
2025-10-17 15:04:02,5910,Start,OFF,213.70
2025-10-17 15:04:06,5910,Stop,OFF,213.70
2025-10-17 15:04:06,5911,Start,ON,213.70
2025-10-17 15:04:10,5911,Stop,ON,213.70
2025-10-17 15:04:10,5912,Start,OFF,213.70
2025-10-17 15:04:14,5912,Stop,OFF,213.70
2025-10-17 15:04:14,5913,Start,ON,213.70
2025-10-17 15:04:18,5913,Stop,ON,213.70
2025-10-17 15:04:18,5914,Start,OFF,213.70
2025-10-17 15:04:20,5914,Stop,OFF,213.70
2025-10-17 15:05:17,5915,Start,ON,213.70
2025-10-17 15:05:47,5915,Stop,ON,213.80
2025-10-17 15:05:48,5916,Start,OFF,213.80
2025-10-17 15:06:19,5916,Stop,OFF,213.80
2025-10-17 15:06:19,5917,Start,ON,213.80
2025-10-17 15:06:50,5917,Stop,ON,213.80
2025-10-17 15:06:50,5918,Start,OFF,213.80
2025-10-17 15:07:21,5918,Stop,OFF,213.80
2025-10-17 15:07:22,5919,Start,ON,213.80
2025-10-17 15:07:53,5919,Stop,ON,213.80
2025-10-17 15:07:53,5920,Start,OFF,213.80
2025-10-17 15:08:24,5920,Stop,OFF,213.80
2025-10-17 15:08:25,5921,Start,ON,213.80
