Time,Run,Scan status,Ablation status,OPO Wavelength
2025-11-24 15:37:53,6733,Start,OFF,214.05
2025-11-24 15:37:56,6733,Stop,OFF,214.05
2025-11-24 15:38:16,6734,Start,OFF,214.05
2025-11-24 15:38:24,6734,Stop,OFF,214.05
2025-11-24 15:38:28,6735,Start,ON,214.05
2025-11-24 15:38:34,6735,Stop,ON,214.05
2025-11-24 15:38:37,6736,Start,OFF,214.05
2025-11-24 15:38:56,6736,Stop,ON,214.05
2025-11-24 15:39:05,6737,Start,ON,OFF
2025-11-24 15:39:42,6737,Stop,ON,214.05
2025-11-24 15:39:43,6738,Start,ON,214.05
2025-11-24 15:40:00,6738,Stop,ON,214.05
2025-11-24 15:40:05,6739,Start,OFF,214.05
2025-11-24 15:40:24,6739,Stop,OFF,214.05
2025-11-24 15:40:33,6740,Start,ON,214.05
2025-11-24 15:40:44,6740,Stop,ON,214.05
