Time,Run,Scan status,Ablation status,OPO Wavelength
2025-10-06 15:25:01,5313,Start,ON,216.15
2025-10-06 15:25:08,5313,Stop,ON,216.15
2025-10-06 15:25:19,5314,Start,ON,216.15
2025-10-06 15:25:33,5314,Stop,ON,216.15
2025-10-06 15:25:47,5315,Start,ON,216.15
2025-10-06 15:30:06,5315,Stop,ON,216.15
2025-10-06 15:30:10,5316,Start,ON,216.15
2025-10-06 15:30:58,5316,Stop,ON,216.15
2025-10-06 15:31:14,5317,Start,ON,216.15
2025-10-06 15:33:18,5317,Stop,ON,216.15
2025-10-06 15:33:19,5318,Start,ON,216.15
2025-10-06 15:35:42,5318,Stop,ON,216.15
2025-10-06 15:35:42,5319,Start,ON,216.15
2025-10-06 15:36:19,5319,Stop,ON,214.05
2025-10-06 15:36:22,5320,Start,ON,214.05
2025-10-06 15:38:25,5320,Stop,ON,214.05
2025-10-06 15:38:31,5321,Start,ON,214.05
2025-10-06 15:39:32,5321,Stop,ON,214.05
2025-10-06 15:39:38,5322,Start,OFF,214.05
2025-10-06 15:40:43,5322,Stop,OFF,214.05
2025-10-06 15:41:09,5323,Start,ON,214.05
2025-10-06 15:41:33,5323,Stop,ON,214.05
2025-10-06 15:41:50,5324,Start,ON,214.05
2025-10-06 15:42:36,5324,Stop,ON,214.05
2025-10-06 15:42:53,5325,Start,ON,214.05
2025-10-06 15:44:08,5325,Stop,ON,214.05
2025-10-06 15:44:09,5326,Start,ON,214.05
2025-10-06 15:44:18,5326,Stop,ON,214.05
2025-10-06 15:44:35,5327,Start,ON,214.05
2025-10-06 15:45:41,5327,Stop,ON,214.05
2025-10-06 15:45:43,5328,Start,ON,214.05
2025-10-06 15:46:45,5328,Stop,ON,214.05
2025-10-06 15:46:50,5329,Start,OFF,214.05
2025-10-06 15:47:06,5329,Stop,OFF,214.05
2025-10-06 15:47:36,5330,Start,ON,214.05
2025-10-06 15:48:22,5330,Stop,ON,214.05
2025-10-06 15:48:23,5331,Start,ON,214.05
2025-10-06 15:48:40,5331,Stop,ON,214.05
2025-10-06 15:49:14,5332,Start,ON,216.10
2025-10-06 15:50:15,5332,Stop,ON,216.10
2025-10-06 15:50:19,5333,Start,OFF,216.10
2025-10-06 15:50:51,5333,Stop,OFF,216.10
2025-10-06 15:51:01,5334,Start,ON,216.10
2025-10-06 15:51:12,5334,Stop,ON,216.10
2025-10-06 15:51:25,5335,Start,ON,214.05
2025-10-06 15:52:26,5335,Stop,ON,214.05
2025-10-06 15:52:30,5336,Start,OFF,214.05
2025-10-06 15:53:31,5336,Stop,OFF,214.05
2025-10-06 15:54:14,5337,Start,ON,214.05
2025-10-06 15:55:15,5337,Stop,ON,214.05
2025-10-06 15:55:19,5338,Start,OFF,214.05
2025-10-06 15:56:20,5338,Stop,OFF,214.05
2025-10-06 15:56:37,5339,Start,ON,214.05
2025-10-06 15:57:38,5339,Stop,ON,214.05
2025-10-06 15:57:43,5340,Start,OFF,214.05
2025-10-06 15:58:45,5340,Stop,OFF,214.05
2025-10-06 15:58:59,5341,Start,ON,214.05
2025-10-06 16:00:01,5341,Stop,ON,214.05
2025-10-06 16:00:31,5342,Start,ON,214.05
2025-10-06 16:01:32,5342,Stop,ON,214.05
2025-10-06 16:01:45,5343,Start,ON,214.05
