Time,Run,Scan status,Ablation status,OPO Wavelength
2025-10-27 18:09:02,6591,Start,ON,214.05
2025-10-27 18:09:07,6591,Stop,ON,214.05
2025-10-27 18:09:18,6592,Start,ON,214.05
2025-10-27 18:09:24,6592,Stop,ON,214.05
2025-10-27 18:09:27,6593,Start,OFF,214.05
2025-10-27 18:09:33,6593,Stop,OFF,214.05
2025-10-27 18:09:56,6594,Start,ON,214.05
2025-10-27 18:10:06,6594,Stop,ON,214.05
2025-10-27 18:10:15,6595,Start,OFF,214.05
2025-10-27 18:10:27,6595,Stop,OFF,214.05
2025-10-27 18:10:44,6596,Start,ON,214.05
2025-10-27 18:10:54,6596,Stop,ON,214.05
2025-10-27 18:10:57,6597,Start,OFF,214.05
2025-10-27 18:11:09,6597,Stop,OFF,214.05
2025-10-27 18:11:24,6598,Start,ON,214.05
2025-10-27 18:11:36,6598,Stop,ON,214.05
2025-10-27 18:11:41,6599,Start,OFF,214.05
2025-10-27 18:11:54,6599,Stop,OFF,214.05
2025-10-27 18:12:10,6600,Start,ON,214.05
2025-10-27 18:12:24,6600,Stop,ON,214.05
2025-10-27 18:12:28,6601,Start,OFF,214.05
2025-10-27 18:12:39,6601,Stop,OFF,214.05
2025-10-27 18:13:13,6602,Start,ON,214.05
2025-10-27 18:13:27,6602,Stop,ON,214.05
2025-10-27 18:13:29,6603,Start,OFF,214.05
2025-10-27 18:13:35,6603,Stop,OFF,214.05
2025-10-27 18:13:47,6604,Start,OFF,214.05
2025-10-27 18:13:57,6604,Stop,OFF,214.05
2025-10-27 18:14:15,6605,Start,ON,214.05
2025-10-27 18:14:20,6605,Stop,ON,214.05
2025-10-27 18:14:48,6606,Start,ON,214.05
2025-10-27 18:14:53,6606,Stop,ON,214.05
2025-10-27 18:15:05,6607,Start,ON,216.10
2025-10-27 18:15:16,6607,Stop,ON,216.10
2025-10-27 18:15:18,6608,Start,OFF,216.10
2025-10-27 18:15:24,6608,Stop,OFF,216.10
2025-10-27 18:16:52,6609,Start,ON,OFF
2025-10-27 18:17:02,6609,Stop,ON,216.10
2025-10-27 18:17:04,6610,Start,ON,216.10
2025-10-27 18:17:18,6610,Stop,ON,216.10
2025-10-27 18:17:35,6611,Start,ON,216.10
2025-10-27 18:36:00,6611,Stop,ON,216.10
2025-10-27 18:41:33,6612,Start,ON,214.05
2025-10-27 18:41:44,6612,Stop,ON,214.05
2025-10-27 18:41:46,6613,Start,OFF,214.05
2025-10-27 18:41:57,6613,Stop,OFF,214.05
2025-10-27 19:06:07,6614,Start,ON,214.05
2025-10-27 19:06:14,6614,Stop,ON,214.05
2025-10-27 19:06:17,6615,Start,OFF,214.05
2025-10-27 19:06:27,6615,Stop,OFF,214.05
2025-10-27 19:06:43,6616,Start,ON,214.05
2025-10-27 19:06:51,6616,Stop,ON,214.05
2025-10-27 19:07:03,6617,Start,ON,214.05
2025-10-27 19:07:09,6617,Stop,ON,214.05
2025-10-27 19:08:50,6618,Start,ON,214.05
2025-10-27 19:09:05,6618,Stop,ON,214.05
2025-10-27 19:09:06,6619,Start,ON,214.05
2025-10-27 19:09:37,6619,Stop,ON,214.05
2025-10-27 19:09:42,6620,Start,OFF,214.05
2025-10-27 19:10:13,6620,Stop,OFF,214.05
2025-10-27 19:10:29,6621,Start,ON,214.05
2025-10-27 19:10:37,6621,Stop,ON,214.05
2025-10-27 19:10:47,6622,Start,ON,214.05
2025-10-27 19:10:51,6622,Stop,ON,214.05
2025-10-27 19:11:03,6623,Start,ON,214.05
2025-10-27 19:11:10,6623,Stop,ON,214.05
2025-10-27 19:11:22,6624,Start,ON,214.05
2025-10-27 19:11:29,6624,Stop,ON,214.05
2025-10-27 19:11:30,6625,Start,ON,214.05
2025-10-27 19:12:02,6625,Stop,ON,214.05
2025-10-27 19:12:05,6626,Start,OFF,214.05
2025-10-27 19:12:12,6626,Stop,OFF,214.05
2025-10-27 19:12:33,6627,Start,ON,214.05
2025-10-27 19:13:04,6627,Stop,ON,214.05
2025-10-27 19:13:08,6628,Start,OFF,214.05
2025-10-27 19:13:36,6628,Stop,OFF,214.05
2025-10-27 19:13:47,6629,Start,ON,214.05
2025-10-27 19:14:20,6629,Stop,ON,214.05
2025-10-27 19:14:23,6630,Start,OFF,214.05
2025-10-27 19:14:41,6630,Stop,OFF,214.05
2025-10-27 19:14:57,6631,Start,ON,214.05
2025-10-27 19:15:28,6631,Stop,ON,214.05
2025-10-27 19:15:34,6632,Start,OFF,214.05
2025-10-27 19:16:05,6632,Stop,OFF,214.05
2025-10-27 19:17:50,6633,Start,ON,214.05
2025-10-27 19:18:05,6633,Stop,ON,214.05
2025-10-27 19:18:06,6634,Start,ON,214.05
2025-10-27 19:18:13,6634,Stop,ON,214.05
2025-10-27 19:18:16,6635,Start,ON,214.05
2025-10-27 19:18:23,6635,Stop,ON,214.05
2025-10-27 19:19:27,6636,Start,ON,OFF
2025-10-27 19:19:44,6636,Stop,ON,214.05
2025-10-27 19:19:47,6637,Start,OFF,214.05
2025-10-27 19:20:02,6637,Stop,OFF,214.05
2025-10-27 19:20:25,6638,Start,ON,214.05
2025-10-27 19:20:56,6638,Stop,ON,214.05
2025-10-27 19:21:00,6639,Start,OFF,214.05
2025-10-27 19:21:05,6639,Stop,OFF,214.05
2025-10-27 19:21:29,6640,Start,ON,214.05
2025-10-27 19:22:00,6640,Stop,ON,214.05
2025-10-27 19:22:04,6641,Start,OFF,214.05
2025-10-27 19:22:35,6641,Stop,OFF,214.05
2025-10-28 13:56:09,6642,Start,ON,214.05
2025-10-28 13:56:18,6642,Stop,ON,214.05
2025-10-28 13:56:33,6643,Start,ON,214.05
2025-10-28 13:56:43,6643,Stop,ON,214.05
2025-10-28 13:56:54,6644,Start,ON,214.05
2025-10-28 13:57:03,6644,Stop,ON,214.05
2025-10-28 13:57:17,6645,Start,ON,214.05
2025-10-28 13:57:22,6645,Stop,ON,214.05
2025-10-28 13:57:41,6646,Start,ON,214.05
2025-10-28 13:57:49,6646,Stop,ON,214.05
2025-10-28 13:57:58,6647,Start,ON,214.05
2025-10-28 13:58:01,6647,Stop,ON,214.05
2025-10-28 13:58:05,6648,Start,ON,214.05
2025-10-28 13:58:09,6648,Stop,ON,214.05
2025-10-28 13:58:14,6649,Start,ON,214.05
2025-10-28 13:58:22,6649,Stop,ON,214.05
2025-10-28 13:58:45,6650,Start,ON,214.05
2025-10-28 13:58:52,6650,Stop,ON,214.05
2025-10-28 13:59:05,6651,Start,ON,214.05
2025-10-28 13:59:18,6651,Stop,ON,214.05
2025-10-28 13:59:21,6652,Start,OFF,214.05
2025-10-28 13:59:25,6652,Stop,OFF,214.05
