Time,Run,Scan status,Ablation status,OPO Wavelength
2026-06-15 13:27:11,6893,Start,OFF,OFF
2026-06-15 13:28:51,6893,Stop,OFF,OFF
2026-06-15 13:50:46,6894,Start,ON,OFF
2026-06-15 13:50:58,6894,Stop,ON,OFF
2026-06-15 13:51:13,6895,Start,ON,OFF
2026-06-15 13:51:17,6895,Stop,ON,OFF
2026-06-15 13:51:32,6896,Start,ON,OFF
2026-06-15 13:51:37,6896,Stop,ON,OFF
2026-06-15 13:56:29,6897,Start,ON,OFF
2026-06-15 13:56:35,6897,Stop,ON,OFF
2026-06-15 13:56:50,6898,Start,ON,OFF
2026-06-15 13:57:11,6898,Stop,ON,OFF
2026-06-15 13:57:27,6899,Start,ON,OFF
2026-06-15 13:57:39,6899,Stop,ON,OFF
2026-06-15 13:57:56,6900,Start,ON,OFF
2026-06-15 13:58:05,6900,Stop,ON,OFF
2026-06-15 13:58:16,6901,Start,ON,OFF
2026-06-15 13:58:29,6901,Stop,ON,OFF
2026-06-15 13:58:35,6902,Start,ON,OFF
2026-06-15 13:58:47,6902,Stop,ON,OFF
2026-06-15 14:31:31,6903,Start,ON,OFF
2026-06-15 14:31:40,6903,Stop,ON,OFF
2026-06-15 14:32:05,6904,Start,ON,OFF
2026-06-15 14:32:13,6904,Stop,ON,OFF
2026-06-15 14:32:37,6905,Start,ON,OFF
2026-06-15 14:32:44,6905,Stop,ON,OFF
2026-06-15 14:32:53,6906,Start,ON,OFF
2026-06-15 14:33:05,6906,Stop,ON,OFF
2026-06-15 14:33:13,6907,Start,ON,OFF
2026-06-15 14:33:21,6907,Stop,ON,OFF
2026-06-15 14:33:28,6908,Start,ON,OFF
2026-06-15 14:33:52,6908,Stop,ON,OFF
2026-06-15 14:34:04,6909,Start,ON,OFF
2026-06-15 14:34:10,6909,Stop,ON,OFF
2026-06-15 14:34:18,6910,Start,ON,OFF
2026-06-15 14:34:23,6910,Stop,ON,OFF
2026-06-15 14:34:40,6911,Start,ON,OFF
2026-06-15 14:34:44,6911,Stop,ON,OFF
2026-06-15 14:35:01,6912,Start,ON,OFF
2026-06-15 14:35:02,6912,Stop,ON,OFF
2026-06-15 14:35:04,6913,Start,ON,OFF
2026-06-15 14:35:08,6913,Stop,ON,OFF
2026-06-15 14:35:17,6914,Start,ON,OFF
