Time,Run,Scan status,Ablation status,OPO Wavelength
2025-10-30 17:58:46,6699,Start,ON,214.05
2025-10-30 17:58:49,6699,Stop,ON,214.05
2025-10-30 17:59:14,6700,Start,ON,214.05
2025-10-30 17:59:45,6700,Stop,ON,214.05
2025-10-30 17:59:49,6701,Start,OFF,214.05
2025-10-30 18:00:20,6701,Stop,OFF,214.05
2025-10-30 18:01:38,6702,Start,ON,214.05
2025-10-30 18:02:09,6702,Stop,ON,214.05
2025-10-30 18:02:14,6703,Start,OFF,214.05
2025-10-30 18:02:45,6703,Stop,OFF,214.05
2025-10-30 18:03:29,6704,Start,ON,214.05
2025-10-30 18:04:00,6704,Stop,ON,214.05
2025-10-30 18:04:04,6705,Start,OFF,214.05
2025-10-30 18:04:35,6705,Stop,OFF,214.05
2025-10-30 18:05:22,6706,Start,ON,214.05
2025-10-30 18:05:54,6706,Stop,ON,214.05
2025-10-30 18:05:58,6707,Start,OFF,214.05
2025-10-30 18:06:30,6707,Stop,OFF,214.05
2025-10-30 18:07:17,6708,Start,ON,214.05
2025-10-30 18:07:23,6708,Stop,ON,214.05
2025-10-30 18:07:49,6709,Start,ON,214.05
2025-10-30 18:08:20,6709,Stop,ON,214.05
2025-10-30 18:08:25,6710,Start,OFF,214.05
2025-10-30 18:08:56,6710,Stop,OFF,214.05
2025-10-30 18:09:28,6711,Start,ON,214.05
2025-10-30 18:10:00,6711,Stop,ON,214.05
2025-10-30 18:11:00,6712,Start,OFF,214.05
2025-10-30 18:11:31,6712,Stop,OFF,214.05
2025-10-30 18:12:17,6713,Start,ON,214.05
2025-10-30 18:12:49,6713,Stop,ON,214.05
2025-10-30 18:12:52,6714,Start,OFF,214.05
2025-10-30 18:13:24,6714,Stop,OFF,214.05
2025-10-30 18:13:59,6715,Start,ON,214.05
2025-10-30 18:14:30,6715,Stop,ON,214.05
2025-10-30 18:14:34,6716,Start,OFF,214.05
2025-10-30 18:15:06,6716,Stop,OFF,214.05
2025-10-30 18:16:09,6717,Start,ON,214.05
2025-10-30 18:16:41,6717,Stop,ON,214.05
2025-10-30 18:16:48,6718,Start,OFF,214.05
2025-10-30 18:17:19,6718,Stop,OFF,214.05
2025-10-30 18:18:19,6719,Start,ON,214.05
2025-10-30 18:18:50,6719,Stop,ON,214.05
2025-10-30 18:18:55,6720,Start,OFF,214.05
2025-10-30 18:19:26,6720,Stop,OFF,214.05
2025-10-30 18:21:13,6721,Start,ON,214.05
2025-10-30 18:21:44,6721,Stop,ON,214.05
2025-10-30 18:21:50,6722,Start,OFF,214.05
2025-10-30 18:22:21,6722,Stop,OFF,214.05
2025-10-30 18:23:29,6723,Start,ON,214.05
2025-10-30 18:24:01,6723,Stop,ON,214.05
2025-10-30 18:24:05,6724,Start,OFF,214.05
2025-10-30 18:24:36,6724,Stop,OFF,214.05
2025-10-30 18:27:19,6725,Start,ON,214.05
2025-10-30 18:27:51,6725,Stop,ON,214.05
2025-10-30 18:27:55,6726,Start,OFF,214.05
2025-10-30 18:28:27,6726,Stop,OFF,214.05
2025-10-30 18:29:11,6727,Start,ON,214.05
2025-10-30 18:29:33,6727,Stop,ON,214.05
2025-10-30 18:35:14,6728,Start,ON,214.05
2025-10-30 18:35:45,6728,Stop,ON,214.05
2025-10-30 18:35:49,6729,Start,OFF,214.05
2025-10-30 18:36:21,6729,Stop,OFF,214.05
2025-10-30 18:36:44,6730,Start,ON,214.05
2025-10-30 18:36:52,6730,Stop,ON,214.05
2025-10-30 18:37:17,6731,Start,ON,216.10
2025-10-30 18:37:48,6731,Stop,ON,216.10
2025-10-30 18:37:52,6732,Start,OFF,216.10
2025-10-30 18:38:24,6732,Stop,OFF,216.10
