timestamp,energy_J,datetime,wavelength_nm,time_str,intensity
0.0,5.08e-05,2025-10-21 19:13:17.000000,363.7379,19:13:18,396.9868
30.000583,6.73e-05,2025-10-21 19:13:47.000583,499.1916,19:13:47,338.2559
60.001179,4.64e-05,2025-10-21 19:14:17.001179,499.1916,19:14:17,213.8271
90.001785,5.74e-05,2025-10-21 19:14:47.001785,499.1916,19:14:47,304.9243
120.002365,5.01e-05,2025-10-21 19:15:17.002365,499.1916,19:15:17,294.1846
150.002965,5.99e-05,2025-10-21 19:15:47.002965,499.0313,19:15:47,274.0767
180.003562,3.44e-05,2025-10-21 19:16:17.003562,499.1916,19:16:17,259.3228
210.004158,4.28e-05,2025-10-21 19:16:47.004158,499.1916,19:16:47,280.145
240.004752,6.69e-05,2025-10-21 19:17:17.004752,499.1916,19:17:17,286.6699
270.005342,6.04e-05,2025-10-21 19:17:47.005342,499.1916,19:17:47,279.4243
300.005933,4.84e-05,2025-10-21 19:18:17.005933,498.871,19:18:17,292.8555
330.00653,4.89e-05,2025-10-21 19:18:47.006530,499.1916,19:18:47,270.8906
360.007125,4.31e-05,2025-10-21 19:19:17.007125,499.1916,19:19:17,286.9121
390.007717,4.98e-05,2025-10-21 19:19:47.007717,499.1916,19:19:47,302.1421
420.008304,5.76e-05,2025-10-21 19:20:17.008304,499.1916,19:20:17,251.7344
450.0089,3.33e-05,2025-10-21 19:20:47.008900,499.3519,19:20:47,114.9751
480.009502,5.17e-05,2025-10-21 19:21:17.009502,499.0313,19:21:17,266.0977
510.010091,4.13e-05,2025-10-21 19:21:47.010091,498.871,19:21:47,174.2017
540.010685,5.76e-05,2025-10-21 19:22:17.010685,499.1916,19:22:17,245.293
570.011279,4.97e-05,2025-10-21 19:22:47.011279,499.1916,19:22:47,296.3579
600.011874,3.71e-05,2025-10-21 19:23:17.011874,499.1916,19:23:17,272.7017
630.012466,5.58e-05,2025-10-21 19:23:47.012466,499.1916,19:23:47,266.1753
660.013058,5.75e-05,2025-10-21 19:24:17.013058,498.871,19:24:17,256.6328
690.013656,5.59e-05,2025-10-21 19:24:47.013656,498.871,19:24:47,207.5967
720.014251,5.63e-05,2025-10-21 19:25:17.014251,499.3519,19:25:17,40.47363
750.01483,5.54e-05,2025-10-21 19:25:47.014830,,,
