wavelength_nm,group_1_mean,group_1_std
363.7379,408.40945868983954,36.112860298819115
363.9037,261.8439506684492,32.772985065824436
364.0696,80.5057150613637,30.497603313798265
364.2355,146.60330847593588,33.0902093250156
364.4014,199.64475287433154,34.259546359690304
364.5672,283.29314852941167,36.81562220085048
364.7331,149.23165131016046,33.25897438822888
364.8989,137.52042089572197,32.94190421328822
365.0647,233.9348597593581,32.792506123762074
365.2306,218.96694532085544,34.53159345588677
365.3964,288.20625013368965,34.58521831657421
365.5622,137.18352306149725,32.15820491111762
365.728,132.19421858288766,33.67889718935355
365.8938,208.27309501336885,33.86292660720039
366.0596,228.96828221925114,34.671500421509876
366.2254,109.30785316844924,32.09114270522211
366.3912,198.97229288770058,33.760627389152276
366.557,178.1995655882354,33.774898312396935
366.7227,211.2329881016041,33.86299012316838
366.8885,463.9388704545458,38.72054644923354
367.0543,186.20090244652417,32.830233061932326
367.2201,264.7503677807487,34.307619884042424
367.3858,165.918816778075,32.09414583228684
367.5515,193.39876344919787,33.31712311103083
367.7173,297.622025534759,35.63309492695693
367.883,91.10330841577544,32.41359915887796
368.0487,85.89341525401066,31.480206949125623
368.2145,156.5605280213904,30.9781940604103
368.3802,138.40277409090908,32.33433295715022
368.5459,106.42416485962572,29.747298736134205
368.7116,269.5378009358289,34.9404935689829
368.8773,197.2904747192514,32.94638401878259
369.043,216.78780093582867,34.01974607547188
369.2087,57.27844212875933,29.28599728153755
369.3744,187.66079564171133,32.26851131082026
369.54,273.12068863636364,34.59397767398284
369.7057,212.99769398395705,33.26483765340383
369.8713,145.29582231283428,31.708760167051107
370.037,253.2316512032084,35.23812062024021
370.2026,122.4255019919786,32.25799789007855
370.3683,63.565874475000065,31.43348992101058
370.5339,73.91213147914445,32.02918486871629
370.6996,148.5912769518717,32.426014296411076
370.8652,171.44822846256693,33.62537742740945
371.0308,105.97496617647055,30.548070004062406
371.1964,330.1126672459891,34.67260590037724
371.362,234.19288114973241,33.54413959231648
371.5276,247.23566189839556,33.39122899169444
371.6932,123.61667815508017,31.434783645835324
371.8588,301.5083891711227,33.9550417981082
372.0244,189.9134693983958,35.41258239720254
372.1899,104.12202520454551,31.413401995474555
372.3555,91.70892291844923,29.528188730244704
372.5211,110.33058074866314,30.4315987915558
372.6866,310.19555494652377,35.80045762958746
372.8522,243.1407421122993,35.03086199763012
373.0177,368.2356618983956,35.29296309830766
373.1833,229.63272072192498,34.69646973124311
373.3488,191.98298807486637,31.782851447088554
373.5143,180.62469921123005,32.26036834443464
373.6799,421.04047473262045,37.23780369249786
373.8454,216.4950201871656,34.46268242172698
374.0109,114.99100953208551,32.54464964069823
374.1764,86.8840563030749,32.20893237533928
374.3419,251.83993997326186,34.53485503956694
374.5074,168.9428811363637,34.01993585999219
374.6729,193.8680148395722,33.88343473759996
374.8383,292.6153410427805,37.54588895664333
375.0038,29.811864343074863,29.79481164484342
375.1693,93.98298758021389,31.21849342022394
375.3347,127.01239983957224,31.00318188745859
375.5002,223.42282767379666,34.25044933935593
375.6656,76.15945779385031,31.587474553354518
375.8311,71.303842780206,31.168917723531138
375.9965,103.77309399331563,31.615118603262008
376.1619,259.88272072192507,34.968416131381204
376.3274,469.7396725935833,35.6037163041844
376.4928,437.4027741978611,37.00993885379
376.6582,184.3479612967916,33.086841149369306
376.8236,156.27576909090917,32.59282658612752
376.989,348.810528208556,37.41928243046085
377.1544,181.17683840909098,33.313982076576615
377.3198,158.0311163368985,31.962747207673733
377.4851,279.10598275401065,33.35045843615131
377.6505,296.67550147058796,35.075627138516744
377.8159,212.46026082887684,33.69724615927497
377.9813,208.5498330213902,33.06779812796835
378.1466,351.0538437165773,35.34552830061703
378.312,399.27710574866296,37.64882550180535
378.4773,117.7236298262032,31.926367043305305
378.6426,143.85999355614976,33.90209728290119
378.808,97.32790753342249,30.448032429092805
378.9733,375.3252340909091,36.51582476323085
379.1386,187.00571562834247,64.97799184628417
379.3039,294.2263036096254,35.08492603811425
379.4692,249.368014839572,32.70967567990239
379.6345,195.5511699331551,33.565315353606884
379.7998,232.5337902406415,34.82621757096223
379.9651,138.63673118983948,31.740835655138273
380.1304,128.46828113636357,32.685064504199545
380.2957,163.52175814171133,32.59695882943392
380.4609,79.57656987165775,32.11300417993322
380.6262,212.92817526737952,32.30252230919107
380.7914,243.0792447860961,35.4437384244135
380.9567,262.2690843582888,34.79223957933771
381.1219,161.0378008155081,32.849068489720445
381.2872,78.96560822232618,32.52265204005269
381.4524,70.0645383703209,31.089962403489633
381.6176,200.6541111898396,33.006554288610815
381.7829,514.7891378342247,37.47812948625129
381.9481,530.0792447860963,41.13790238341785
382.1133,190.6367314973263,33.02610007348911
382.2785,144.78646382352943,32.255822556194374
382.4437,171.01239977272735,32.23965385314284
382.6089,65.31988583184365,29.356289486512978
382.774,345.1193517379677,35.102896283734914
382.9392,111.47763970588225,31.664719791284085
383.1044,131.91213247326195,33.08320585061887
383.2696,50.855982105080216,31.451065793172916
383.4347,112.0204205494653,32.490795490253966
383.5999,24.17149005398394,29.813209402481625
383.765,144.1260363502674,32.44030347064186
383.9301,184.68753367647074,33.17782813039017
384.0953,265.7115977272727,34.26908842868092
384.2604,190.54314847593594,32.49130436463772
384.4255,49.08726519505349,31.444027269130007
384.5907,141.3292447058824,32.69286786196703
384.7558,201.11667796791448,33.73574147837411
384.9209,43.712934177005394,30.64912087179761
385.086,191.2771057486632,31.748743159178392
385.251,225.3319185828876,33.051190980905574
385.4161,179.09127689839576,33.44004247212315
385.5812,124.44421740641717,31.727967726459745
385.7463,210.2450201871656,31.91627856751269
385.9113,135.8626670320855,32.18925321379475
386.0764,100.57122356951868,30.876730225815372
386.2415,439.9361966577541,36.85059175491839
386.4065,327.19822874331527,35.12704605271634
386.5715,110.191544894385,32.47765156642954
386.7366,61.5284424148396,29.57697786310262
386.9016,130.43084918449188,33.304790100732525
387.0666,189.35197205882358,32.30224477715438
387.2316,304.0685495989302,34.80389720477083
387.3966,159.59796172459897,31.53191898006153
387.5616,293.86133034759337,34.97564954982782
387.7267,272.6434159090909,35.05981749979459
387.8916,308.06052820855587,33.66574887542022
388.0566,102.11132980080224,30.651286997995587
388.2216,380.97362981283413,36.742769694384755
388.3866,269.4107955882353,34.73862150407171
388.5515,350.3559827540105,36.0867098662708
388.7165,320.5565175133687,35.12519031857391
388.8814,321.13940521390344,35.040644766712276
389.0464,86.21961983021392,29.309950511025985
389.2113,230.84796136363616,34.411252242053855
389.3763,198.71560842245992,31.770806487518673
389.5412,296.19956564171093,35.36970318819105
389.7061,174.70491326203214,32.927431327452624
389.871,196.40678493315508,32.5159638314575
390.0359,109.05785518716573,31.94288736965275
390.2008,171.6808490508022,33.21009430921212
390.3657,267.92951216577546,35.814386135267625
390.5306,193.63405758021395,33.334024210465735
390.6955,127.88272022727273,33.49849356599486
390.8604,279.27175815508014,35.04522542840214
391.0252,211.42149080213886,34.27882760528619
391.1901,184.70357633689846,33.01171820957586
391.355,166.51239993315517,33.15757802146289
391.5198,185.46961915775412,32.1589918734047
391.6847,168.77309532085567,32.347724639561676
391.8495,261.85330895721927,34.701879180273735
392.0143,139.24502022727268,32.913143396791696
392.1792,77.33459128195184,31.89652091847929
392.344,61.75437771925137,30.87858454130006
392.5088,188.40945868983965,32.22585002995978
392.6736,192.76239989304813,34.009665289484644
392.8384,246.94822874331535,33.72604888548018
393.0032,482.42951216577575,38.658726740221276
393.168,36.67951163943851,30.724444347660775
393.3328,148.61801455882357,32.834426000057206
393.4976,385.39876350267383,36.565748033735495
393.6623,265.67015387700536,34.093368992849555
393.8271,56.2904737651337,31.239159420284775
393.9919,185.90678478609638,31.70487938310508
394.1566,256.0017046791443,35.78783465443592
394.3214,149.38940490641718,32.46662234471972
394.4861,182.91747998663112,33.36103279465049
394.6508,224.18753355614962,33.12585773580646
394.8156,265.8907421122995,32.78821085714603
394.9803,48.674163667045505,30.85501181998766
395.145,94.68485863235294,30.58489605073284
395.3097,116.99368306149732,31.519736952290586
395.4744,288.71961911764686,34.83315618281459
395.6391,95.97095521390371,31.334592599510987
395.8038,74.81721261363639,30.70276325624894
395.9684,157.95223959893056,31.573800628204893
396.1331,94.52042112139041,31.826443154275665
396.2978,80.72229295093584,30.591583828567803
396.4625,63.79047425467914,30.635911643656048
396.6271,65.29314833783424,30.172338484017335
396.7918,176.35865676470604,33.11300888800382
396.9564,117.38004659090912,33.532572097444756
397.121,95.94555367780744,31.90242057156759
397.2857,181.03913783422468,30.49331848325886
397.4503,183.09395068181828,31.242761987188114
397.6149,143.42550215240644,31.66218507156323
397.7795,363.29983302139027,35.90337754328976
397.9441,369.2329881016042,33.283331725723166
398.1087,448.71961911764726,37.14512696446944
398.2733,253.39341590909078,34.277694838288085
398.4379,376.99368328876994,38.3660838713021
398.6025,141.27443183155074,30.94733476393118
398.7671,336.83993997326183,33.62608081729634
398.9316,590.1434159090909,35.525336536768094
399.0962,427.07657098930486,36.49240622579233
399.2607,266.19822874331555,35.34511895203774
399.4253,382.17416457219247,36.139478213080544
399.5898,310.8880683155077,34.44932283122187
399.7544,477.2303143048132,37.41137685285938
399.9189,176.6607955748664,33.56117674559276
400.0834,132.4709556016042,33.14241581212155
400.248,140.43218552139035,32.57988870528927
400.4124,318.1287100267377,35.73860101014217
400.577,173.44421794117656,31.764455681925917
400.7415,151.78111664438515,31.568867251779643
400.9059,280.01774745989303,34.81313429814456
401.0704,88.77977796657761,30.737394329544156
401.2349,264.2998330213904,33.86415549588884
401.3994,251.56453890374317,35.863720106787056
401.5638,158.4669452807488,31.215779300461623
401.7283,167.15678477272738,30.288762749286022
401.8928,318.09395066844894,34.968078742112475
402.0572,196.98432494652405,34.44995240266286
402.2216,210.11801483957203,33.796336442180326
402.3861,139.2289768582887,33.72398872481497
402.5505,159.1113303475937,32.27336144675851
402.7149,165.7276405614974,33.40402788120721
402.8794,86.91881647593588,30.534564442789776
403.0438,121.45223874331555,31.212819560204693
403.2082,286.190207352941,35.584155921300024
403.3726,320.41079558823503,35.69581868595325
403.537,184.59261382352955,32.21882829708126
403.7013,151.16480608288774,32.08382948764432
403.8657,154.56186494652414,32.41658995961473
404.0301,203.80785441176462,35.42225679487713
404.1944,127.41614263368979,30.6137088528846
404.3588,267.58993997326206,34.51485188275874
404.5231,166.87068872994666,34.04755474408542
404.6875,149.35464576203216,34.0353324702554
404.8518,185.04715925133698,32.63525109917684
405.0161,353.016410561497,34.86460340721428
405.1805,262.54181163101606,35.26653047367187
405.3448,125.37737359625666,31.46476246500425
405.5091,521.2182822192515,38.84181953804794
405.6734,210.85865655080195,35.488896068041015
405.8377,165.91748012032102,34.51381587632266
406.002,101.39876270320853,30.884164810396097
406.1663,198.47496671123,31.02653749349605
406.3306,173.60330882352946,31.908806394848916
406.4948,110.4936831684491,30.238501974724606
406.6591,235.97496671122983,33.7243291362393
406.8234,170.26106295454554,33.00368039050623
406.9876,325.5043784759356,35.025476364680266
407.1519,81.46694499866312,29.914307179029333
407.3161,318.622025534759,36.01567179320822
407.4803,155.5765710160428,32.549437265330965
407.6446,98.99234556149737,33.523136686590604
407.8088,98.88539406417108,31.036946159509778
407.973,289.78379024064145,35.727411843104804
408.1372,162.67550159090916,32.81417051651775
408.3014,64.82255944652417,30.57036929734522
408.4656,208.53379024064157,33.66123414029144
408.6298,146.45090270053478,32.91743116698834
408.794,196.7811164438503,33.033531179576585
408.9582,192.412132540107,33.090777512879505
409.1223,87.42951149465247,31.49410018819171
409.2865,98.4402069518717,31.84866626628731
409.4507,121.83726608288767,31.27635781163545
409.6148,435.6059827540108,37.6680584896279
409.779,204.67550147058813,33.677004212586205
409.9431,239.6554479946523,34.56109372019536
410.1072,256.7049132352941,34.90145167518173
410.2714,449.7851271390376,37.45170137969561
410.4355,193.58592933155083,33.07594728454496
410.5996,136.52576881016034,32.73545287565292
410.7637,327.7129346256682,35.74381227662981
410.9278,68.62469839251344,31.224434561244713
411.0919,92.00170367780744,31.14503217089911
411.256,288.08058168449185,34.05788529683734
411.42,514.2329881016043,39.24019839691251
411.5841,192.49100945187166,32.90391997442412
411.7482,136.6300470588235,33.46001508406122
411.9123,151.1648062165776,32.54524750870973
412.0763,204.90143728609613,32.59845205510711
412.2404,230.22362981283408,35.35075139529836
412.4044,144.19154419786094,30.97373929248219
412.5684,170.6755013235295,32.590480140843155
412.7325,210.24100949197842,32.98649320306825
412.8965,672.1621324866306,41.24831193093418
413.0605,174.47897715240651,33.795345000471556
413.2245,104.96427139304814,32.80790891646203
413.3885,45.18753247633693,29.802290306875804
413.5525,117.55116916042782,31.565177879901483
413.7165,446.60865655080244,37.681984201363086
